,10000,50000,100000,1000000,3000000
0,9753,49944,102656,1004184,2942976
1,9884,50894,99360,888781,2972948
2,9995,54165,93647,969597,3060980
3,10036,51515,103602,977774,2837858
4,10480,50255,96814,985071,2939987
5,10643,49414,98166,1021843,3015563
6,10025,51511,98289,948160,3084774
7,10374,49022,100574,1047412,2993709
8,10184,53112,92294,940524,3106057
9,9822,50870,100800,985836,2901781
10,10214,49993,98350,984689,2998423
11,10042,49663,102332,1021211,2931168
12,10347,49363,101634,1014532,2981923
13,9634,49131,98977,998966,3156721
14,10152,49904,104043,1004266,2759963
15,9535,51518,101160,1018299,3024800
16,9645,49441,107853,1025788,2859492
17,10089,49925,101434,970862,3009000
18,10097,51220,94882,1000130,2945484
19,10127,51471,99006,975623,3080714
20,10401,51888,101698,1009423,2862367
21,9713,49022,102715,1026328,2928407
22,9662,48870,99589,961715,3017994
23,10598,50957,103826,1023791,2907306
24,9865,51131,98397,1018093,3107714
25,10207,50405,100834,993115,3088244
26,9432,47627,99799,996261,3125616
27,10308,49434,100589,987823,3096304
28,9781,47977,98576,1051631,2995191
29,9503,51045,98884,973267,3047958
30,10219,49569,101224,1037179,2984550
31,9618,50125,102095,983441,2865348
32,10225,49485,101408,1035274,3095436
33,9800,52218,102318,1006360,2960732
34,9895,51624,94883,1041613,3118247
35,9633,52286,92307,1072342,2907970
36,10266,50625,98263,1004829,2828799
37,10166,48323,99017,988494,3085235
38,10092,51933,100117,1044107,3024024
39,10097,47686,105054,985651,2987000
40,10420,49406,99358,1024919,2969740
41,9907,51656,96906,952329,3030564
42,10248,50318,99992,995230,2862363
43,9659,47669,99780,992089,3034230
44,9708,50926,102001,999966,2956944
45,10261,47489,104257,1029021,3043317
46,10282,47580,95539,1015840,3075157
47,10055,52876,99127,941462,3212167
48,10134,49816,98634,1059581,2857646
49,9657,48126,105286,1015936,2969966
50,10124,50467,100673,992433,3011710
51,10194,49464,104177,1018710,2884306
52,10041,49589,106546,974709,2966443
53,9861,51328,101827,964901,3024236
54,10061,49109,98379,949015,2986250
55,9055,49695,107453,1002179,3124276
56,9784,51427,102498,1019453,2975956
57,10342,50986,94972,1044459,3037872
58,9635,50506,98965,988066,3041261
59,9653,46990,100582,946729,2939439
60,9653,53407,102621,927860,3085308
61,9597,50253,103472,1041207,3314285
62,10013,48063,104671,988858,2919376
63,9708,50052,101981,1022017,3163916
64,10085,52523,99376,989599,2988034
65,10219,50703,94291,1033737,2959120
66,9370,49071,97697,960679,3077068
67,9743,48079,99356,1032319,3059412
68,10065,51822,98336,991934,2900001
69,9771,51304,101561,1028211,3031271
70,10430,48421,101684,1011975,2841172
71,10097,53696,101383,935584,3003183
72,9721,49152,96366,1008864,3030969
73,9754,47235,97410,1004292,2802366
74,10226,50375,103829,966917,2757523
75,9725,51190,99610,998496,3041209
76,9698,47894,103502,1005379,2900543
77,9972,51414,100833,989505,3029313
78,10634,51103,103621,969397,2976070
79,9895,47839,93530,990553,3009882
80,10193,49406,104784,971082,2977033
81,10440,49163,98312,988174,2792115
82,10602,48135,101183,1010272,3089230
83,10705,50759,101024,998918,2961953
84,9813,50238,97914,1057796,2891068
85,10160,52047,105099,1034770,3120653
86,9904,49416,104971,1006275,3055007
87,9982,51528,95875,956712,3024228
88,9758,48651,104263,1014889,2919975
89,9731,49548,102678,1018040,3131880
