,10000,50000,100000,1000000,3000000
0,10255,47218,99076,983342,3017628
1,10116,53764,100352,970126,3031397
2,10141,53825,103221,1103921,2934288
3,11264,52294,108264,1057716,3107899
4,11699,55459,114706,1086659,3386057
5,11502,52976,112440,1111950,3353365
6,11724,57134,113278,1102475,3294245
7,11480,54007,114401,1166872,3435906
8,10854,55444,105751,1146450,3406445
9,11096,52109,104995,1127244,3119627
10,10260,53913,113819,1057980,3172385
11,10624,54934,102828,1020209,3302177
12,10719,52424,102296,1031832,3242790
13,9936,52491,110527,1078279,3092910
14,10167,49910,104046,1003175,2894097
15,9401,50320,99816,942348,3010638
16,10058,48626,98939,1003330,2931543
17,9968,48592,97258,951033,3100809
18,9089,47171,101309,943637,3010381
19,9572,48102,96255,977459,2913747
20,9535,49108,98469,963270,2937902
21,10877,52961,99767,1049094,3132520
22,9682,52468,108430,1019107,3161968
23,10112,53934,105509,1081653,3135711
24,11081,55305,112643,1091850,3262609
25,11287,53439,107551,1116453,3223725
26,11905,56389,111318,1198940,3456773
27,11128,57819,116511,1140781,3624837
28,12182,58969,117610,1132978,3596048
29,11498,60096,110250,1202277,3408537
30,11981,62153,114987,1205797,3528867
31,12242,59003,119584,1218170,3626730
32,11603,58579,119228,1220404,3620572
33,12062,59108,109915,1136720,3404847
34,10994,58433,114746,1110549,3362573
35,11471,56702,107583,1133530,3322891
36,11184,53623,116377,1119205,3334295
37,10398,53583,106742,1061116,3153315
38,10521,54399,111551,1074420,3149042
39,10165,54642,101729,1024714,3036205
40,11095,51117,100913,1018465,3016781
41,9947,51875,101403,1039252,3043681
42,10674,51431,102734,971315,3089733
43,10575,49148,107266,1008950,3137050
44,10154,53049,102608,1019518,3139306
45,10692,51538,101694,1063514,3093133
46,10542,54875,100351,1065236,3216154
47,11025,56461,107468,1080350,3301208
48,11374,55945,115038,1107865,3210888
49,11325,57929,109531,1209060,3245652
50,11790,55929,109329,1118251,3523961
51,11619,59939,117206,1180382,3350223
52,11239,58982,119284,1172896,3476714
53,12946,61071,116486,1192698,3439811
54,12250,59212,118940,1219303,3675000
55,12413,59342,116060,1227157,3633281
56,12139,58250,116211,1205929,3449771
57,11494,60346,115500,1159690,3568233
58,11638,56407,120674,1119557,3667549
59,11045,55453,110009,1069085,3412676
60,11620,53129,111917,1179994,3351343
61,10742,51388,107379,1095435,3145444
62,10416,53873,103680,1007282,3246349
63,10197,49560,98317,1005374,3096451
64,9973,49785,95807,996296,2908759
65,9904,51113,95752,953299,2876748
66,9723,48441,93443,952287,2948468
67,9666,50871,93102,964010,2907800
68,10070,49651,96661,997586,2819332
69,9641,48136,102242,1020318,2999851
70,10399,50484,101017,1015756,2930033
71,10356,53963,104698,1014083,2954140
72,10448,51611,109539,1044521,3134810
73,10787,51532,108045,1125032,3172520
74,10804,53830,101954,1058080,3391521
75,10828,57101,111999,1137600,3328077
76,11136,57469,117907,1101060,3422460
77,10977,59150,112610,1119982,3262707
78,11290,55667,109217,1191999,3323781
79,10960,57470,114039,1176508,3353340
80,11608,55355,113382,1016394,3342662
81,10888,57135,110842,1098160,3243897
82,10422,50947,106210,1098249,3131037
83,10272,55478,103151,1088893,3160686
84,10597,50334,98773,969723,3055900
85,10684,48819,95475,962318,2940307
86,9255,48062,93788,947240,2705181
87,9320,46850,98877,977952,2830129
88,9383,46206,92513,891258,2677978
