,10000,50000,100000,1000000,3000000
0,10331,48804,98985,1002158,2987146
1,10281,51269,96876,973272,2886128
2,10272,48847,95500,1011274,2975388
3,10018,49292,108153,1011296,2974397
4,10372,50231,100449,1039646,3077008
5,10211,50221,98395,988174,3004858
6,10244,49655,96241,1005852,3016058
7,10160,51451,100774,991538,3147760
8,9972,48730,104106,980698,3032878
9,9670,49945,100501,981039,2808995
10,10371,49489,98726,1048105,3057327
11,10673,48687,101329,1019267,3019487
12,9481,49423,104528,948866,3025793
13,10368,48452,97901,1027058,3146676
14,9451,48766,106902,994770,2860054
15,10280,52420,99405,983641,3142558
16,9460,49675,100221,1026217,2974956
17,10448,50776,102986,890500,2954732
18,10122,48103,102405,927792,2967977
19,9987,49020,96123,1045301,3049384
20,10190,47764,105698,954134,3029449
21,9592,51208,99199,1007842,3039128
22,10415,51779,102089,974273,2925456
23,10147,52957,102063,1026332,3231928
24,10649,50901,95770,1001823,3152145
25,10540,52702,100234,1025187,2981966
26,10005,49059,103551,983267,2978425
27,10583,49870,98420,1017387,3178837
28,9848,49254,98265,997549,2870241
29,9660,50896,96701,1006633,2927017
30,10276,50114,104147,1073298,3010439
31,10038,47184,99880,1066693,2827212
32,9402,49783,99001,1032347,2890453
33,10069,49978,96014,1042297,2956094
34,9791,50054,104660,992561,3096376
35,10036,49955,101681,1004447,2995814
36,9824,53566,103358,999775,2928977
37,10205,52683,100683,1056665,2951087
38,9830,50175,103046,1029042,3074633
39,9893,51008,102724,963865,2936843
40,9775,49822,103830,980370,2966418
41,10671,49554,100138,1020845,3018419
42,10170,50990,99248,1021807,3012384
43,9931,49331,92013,995356,2946993
44,10126,50427,100229,952404,2952628
45,10289,45761,99702,991917,3011427
46,9159,50836,97955,972980,3094751
47,9755,50521,101562,995305,2989526
48,9916,51676,96314,1059993,2929064
49,10341,50761,101595,1003402,2872021
50,9842,50037,101342,971272,3102940
51,10352,49980,102334,959286,2946513
52,10233,46596,99585,989667,3081735
53,10253,51334,98446,978190,3050224
54,10158,50027,102810,980786,2993882
55,9960,49811,93099,960161,3025552
56,10364,47294,99290,1010912,3059049
57,10044,47400,93490,995740,3018416
58,9306,51578,101092,1025743,3024633
59,9699,49131,95423,958958,2970745
60,10557,54710,97889,978925,3128570
61,10073,46768,98098,964355,2985271
62,9684,48013,97478,1016646,2775655
63,9452,50334,97154,961337,3059404
64,9926,50384,97583,1025240,2973929
65,9663,51547,96088,1020050,2923402
66,9965,50537,100860,1062158,3075292
67,9111,49685,102444,1024090,3085923
68,9624,49938,96594,1014739,2992673
69,10079,49384,100429,958898,3029427
70,10525,51003,100354,989840,3131695
71,9688,53796,94702,1029810,3112485
72,9946,48780,94927,982453,3040525
73,9883,48077,96777,1007190,2949282
74,9978,50228,100089,962632,3022805
75,10096,51668,92690,947514,3089914
76,10649,47642,102144,1015633,3027412
77,10291,50262,108472,964647,3092808
78,9857,51235,99251,1056762,2845262
79,9978,50449,97906,1001868,3000551
80,9666,52362,96182,996244,3006158
81,10152,49691,103058,970181,3054981
82,9593,51098,95270,998785,2996011
83,10264,50599,104887,1011093,2950916
84,9548,54518,96793,1060338,2869694
85,9953,48329,91195,1014425,3100297
86,9991,49618,95216,966330,3043376
87,9759,50410,97639,998304,3172588
88,9846,49622,99675,953299,3012448
89,10445,49412,91675,938608,2985519
90,9592,48352,99068,955339,2910284
91,9555,46925,103910,966007,3016844
92,10895,50482,98033,965467,3005751
93,9823,49905,99544,951185,3077563
94,9279,48522,99653,920632,2938941
95,10146,51481,103955,1014771,3048581
96,9829,49575,93732,1047568,3006395
97,10056,46487,99030,988756,3086706
98,10207,49298,96505,1016126,2988234
99,9281,48028,100021,1027751,3030103
100,10352,47859,95708,990293,2894778
101,9848,47415,101603,972442,2806754
102,9920,51711,98185,986011,2996948
103,10487,50325,94102,1008333,2985328
104,9422,48573,98534,1035035,2816290
105,10062,46801,94674,1017357,3124478
106,9521,50199,99651,999360,2940964
107,10176,52846,102095,988057,2854641
108,10009,45704,98821,974449,2884120
109,10419,48765,98670,1016483,2794188
110,9552,51305,97691,1013848,3056602
111,9731,47686,98301,994618,2912042
112,10273,49959,98598,995628,2894987
113,9774,50785,101028,969684,3178786
114,9303,47557,106883,1009198,2922221
115,9425,51306,97864,988873,3161360
116,10075,48237,93521,967758,3016013
117,10073,48818,99571,961184,2924779
118,9944,49114,100212,994791,2919552
119,9803,49714,102094,997351,2946063
120,9740,49409,99132,997506,3092562
121,10236,49677,100071,1066211,3037663
122,9755,49883,99847,964536,2847811
123,9269,50116,103936,1059335,3040356
124,10056,45305,96980,962344,3074005
125,9742,48597,98557,989055,3093198
126,10014,50608,92232,980093,3073313
127,10017,47647,98931,999971,2786985
128,10036,50883,107198,1020492,2925917
129,9648,48781,97605,1053515,2979961
130,9601,50131,98907,1006707,2837126
131,9847,50946,97638,970892,2991473
132,9617,47883,105382,994686,2916295
133,9653,52313,97728,1014932,2859528
134,9964,52078,93978,941652,2985628
135,9986,49858,99008,985625,2814624
136,10330,50751,106121,983780,3045987
137,10670,50795,96711,993929,3109927
138,10301,53091,99004,1018152,2856977
139,9992,49578,92774,991982,2933884
140,9793,51521,96864,972194,2931386
141,10931,48189,94933,975458,2933315
142,9889,49568,94989,1008413,2830147
143,8967,50019,95293,961342,2946321
144,9481,51992,94025,1030423,3015888
145,10159,50983,93657,949607,2926896
146,9888,49278,96740,932311,3049654
147,9770,48178,96998,942090,2912034
148,10471,48914,104961,991118,2924130
149,9739,51739,102358,1011041,3084161
150,9354,50422,102421,1029747,3181223
151,9535,50221,93366,952486,3048619
152,9788,50113,101757,980616,2825589
153,9593,49778,99804,970122,3154587
154,9620,47414,103524,1019051,2921251
155,10462,49219,98376,972984,2970595
156,10625,48592,95729,973213,3128479
157,10287,49290,94491,948186,3001625
158,10309,45679,100391,975258,2967456
159,10181,51674,102752,939317,2980131
160,9828,48089,98920,986141,2994459
161,10099,49854,98765,941882,3032575
162,9707,48958,99407,953910,3076083
163,9783,49307,96268,1035627,2793499
164,10089,50424,92552,1061841,2954830
165,9890,49356,101701,916050,3060211
166,10375,51682,102895,1003470,2998299
167,9993,48803,95047,1000459,2891904
168,10155,48694,101683,1023076,2903367
169,9355,51948,100712,1008098,2976357
170,10289,50206,93509,935415,2905453
171,9258,49943,101095,985699,3116448
172,9418,49478,104479,1013972,3000090
