,10000,50000,100000,1000000,3000000
0,9547,52809,100604,987441,2907432
1,10359,49309,103086,982132,2933715
2,10200,49729,94193,1018302,3138831
3,10059,49191,98341,1002343,3021962
4,9804,49147,101954,987334,2980359
5,9964,50303,101025,1054172,2990606
6,9797,51667,104798,1025177,3226957
7,10071,49650,98833,996367,2893017
8,10137,50694,109379,938909,3075361
9,9832,48695,100514,1030708,2934555
10,9788,48996,99901,1044541,3022603
11,9778,50406,106554,1051442,3077478
12,9878,49039,99104,970549,2768385
13,10109,49214,102089,1010789,3023132
14,9292,48668,97403,964191,3137737
15,9614,50515,100290,1015547,3094751
16,9446,50200,105163,998174,2919717
17,9838,49056,104306,1014594,2976952
18,10885,46879,104029,979795,2872009
19,10339,52108,97955,977756,2971248
20,9925,51222,92366,1014142,2856771
21,10287,49459,99419,987335,2817895
22,10325,48067,100899,1034884,2964066
23,9977,47600,98536,991455,2986938
24,9971,52380,99313,1031378,2819216
25,10061,52798,101878,973836,3036724
26,9396,48396,102689,983717,2883097
27,9740,49248,101855,1011189,2961034
28,10532,47816,96460,1054070,3207490
29,10023,49127,101983,935332,2924376
30,9400,48191,95588,1011497,2961122
31,9845,49990,104027,990510,3050258
32,10374,51455,98541,1049309,3129353
33,10041,46270,99639,983555,2906551
34,10097,48150,100832,965698,2896966
35,9963,49896,99598,979777,3182967
36,9862,51478,99798,1015383,3052327
37,10101,48934,105028,1003681,2995649
38,10194,49648,99713,962226,3034622
39,9821,50551,96579,1018959,3021488
40,9861,47699,103069,1029519,3120408
41,9493,49610,93626,1015680,3111261
42,9955,54639,99545,982712,3033813
43,9999,50249,102046,1026559,3073064
44,9527,49453,102664,1015778,2789779
45,10208,48417,99569,1008524,3061278
46,10080,47011,103406,999104,3040115
47,9757,53404,101329,991162,2941942
48,9918,49666,106741,930970,3077497
49,10309,48012,96575,967251,3043691
50,10051,51098,101743,1029167,2923220
51,9703,49709,95032,1018146,2913081
52,9988,50220,95232,931870,3112876
53,10402,51584,97065,958963,2882107
54,9165,48658,97403,903181,3010946
55,9508,51520,103641,1053904,2987302
56,9683,51244,97690,997122,2991498
57,10266,45903,99367,1037000,3021953
58,10269,50596,106792,968550,2976717
59,10337,49207,106814,924690,2958451
60,9235,51284,98404,963768,3069695
61,10427,52957,99550,1018718,3083954
62,10345,51846,103873,1006840,3047198
63,9818,51959,104860,986709,3009365
64,9506,50057,90591,1069566,3067875
65,10257,49311,102906,999083,2952430
66,10267,53835,99469,1032475,2950874
67,9522,51049,102788,1035863,2977762
68,9613,45888,95209,982381,2853405
69,9821,49260,101165,992339,3014931
70,9724,49068,105222,954921,2986424
71,9559,50987,98219,1030216,2921173
72,9492,49855,99745,959276,3084275
73,10366,48152,102394,993052,3032506
74,9750,50584,104801,994648,3128272
75,9692,52619,105230,1019987,3170634
76,10780,51415,100752,968541,3126772
77,10014,49084,103114,942521,3035498
78,9384,52996,98248,978619,2789560
79,9120,47372,96081,1017140,2900770
80,10166,49991,96625,955557,3003646
81,9979,48649,101435,983496,3082514
82,9683,50632,103959,958898,2909952
