,10000,50000,100000,1000000,3000000
0,9815,48519,96085,1036762,3090236
1,10399,50241,103692,1023449,2977875
2,10292,51264,94466,1058683,3002516
3,9992,49250,98656,951162,2953352
4,10366,47484,98720,1021396,2953527
5,10375,50288,99206,923386,3005490
6,10200,49882,96872,958180,2891647
7,10447,52068,101118,961720,3001078
8,10017,53053,101494,990518,2887075
9,9968,51057,99773,977692,2844788
10,9635,49777,98482,1019054,2908854
11,10101,53541,104936,1026381,2985963
12,10131,49771,97471,941900,3077967
13,9728,46588,91876,996008,3025669
14,10304,49512,97092,1011702,3024178
15,10000,51419,90805,988353,2966776
16,9839,48916,94840,1001414,2866867
17,10612,48124,95763,954217,3071085
18,9986,47090,100760,1006860,2818090
19,9529,49608,99842,1033397,2895548
20,9536,50319,99277,926719,3038012
21,9722,47344,101496,986636,2930702
22,9528,48048,100085,999727,2951568
23,9676,51640,105725,1042646,3020027
24,9741,49125,101552,1033103,3040293
25,10221,50409,93861,999320,2927916
26,9686,49522,100402,1018101,2841725
27,9718,49093,99593,943569,2927915
28,9636,48086,104029,972337,2912470
29,10220,48879,100734,933920,3052174
30,10687,50040,102006,967175,3119488
31,10278,51670,102660,998887,3172903
32,10185,48635,102709,1028117,2895194
33,9672,50106,97391,1006688,3025732
34,10216,48449,101096,1069989,2908963
35,10577,46812,99358,1039807,3142234
36,9747,50292,100441,997259,2905700
37,10169,48439,101674,980563,2956941
38,10135,50106,99172,965418,3079680
39,9764,49123,101942,1004693,2851666
40,10130,49487,104064,990672,3204558
41,9276,52888,99218,1023935,3032675
42,9892,50287,102356,991468,3065456
43,10276,48085,93405,964655,2874158
44,9690,51018,94604,1049248,2945653
45,10317,50283,96947,985709,3025419
46,9933,53117,103002,1046528,3073105
47,9812,53398,96249,974420,3047772
48,9603,49744,99813,983780,2949455
49,9726,51131,98720,1006188,3068022
50,9669,48838,103221,976148,2998484
51,10340,50622,102267,1013820,2974433
52,10126,51231,102097,988172,2827551
53,10209,50781,96435,957955,3080388
54,9441,50001,99784,983476,2869786
55,10283,46736,95184,1013503,2971779
56,9819,51415,104365,1024957,2921168
57,9279,49808,94002,1017599,2927560
58,9855,51501,97699,932863,3055634
59,10228,49246,103621,992023,2883522
60,10280,49529,100724,992147,2995181
61,10070,49580,104748,989675,2989595
62,10215,50070,100974,1015378,2866009
63,10121,53176,106261,966775,3163569
64,9648,49828,95173,998316,3007819
65,9978,49664,96425,993909,2865459
66,10005,50440,99830,1024880,2925328
67,10003,44958,93369,962049,2912661
68,9865,51445,102928,1010942,2943205
69,10538,46665,93802,979632,2937649
70,10099,48745,98725,984319,3036531
71,10482,50634,97131,972331,3144154
72,10287,50105,100935,1059811,3131590
73,9913,49611,96344,1018113,3159044
74,10038,54539,99226,1014876,3091873
75,9712,49204,100120,958398,2986511
76,9712,46855,96245,984427,2905375
77,9798,51759,101877,985419,2861813
78,9802,49200,99709,972416,2893907
79,10049,48617,98924,1038707,3031087
80,10307,48793,104934,958276,2741407
81,10247,49117,97657,988031,2915922
82,9839,45980,102421,1096111,3152328
83,10238,50198,102597,963849,2867059
84,10238,51394,101504,979896,3084048
85,10287,48052,106715,973001,2992240
86,9571,50004,102634,996020,2864352
87,10134,50345,97687,1004269,3078728
88,9583,49616,96381,1013233,3012155
89,9867,50391,100452,984268,2980870
90,10722,48854,98096,1055873,3165720
91,10063,50988,99405,999429,2815390
92,9921,49525,103152,980514,3146226
93,9815,51338,98745,1046142,2972200
94,10273,50828,96136,945306,2898343
95,9912,48484,97060,992116,2850050
96,9543,49300,103207,1027776,2937742
97,10120,48055,95619,996394,3160050
98,9673,49472,94751,970633,3058293
99,10170,47938,106947,890189,2998990
100,9713,48427,99882,957126,2971815
101,10094,51047,98879,969386,3016916
102,9476,50733,106053,990255,2921729
103,9635,47570,100621,951293,3160355
104,9806,49675,100191,993122,2920936
105,10067,50572,103419,1053220,2937711
106,10246,53550,90515,929193,3055560
107,10123,49452,104682,1018466,3026392
108,10279,51254,105445,981541,3157679
109,10011,46661,95068,1021107,2951278
110,9933,50752,104737,1021332,2885478
111,9678,48649,101231,937174,3042966
112,9889,53949,97168,975301,2984033
113,9865,50785,101099,1033506,3019294
114,9872,48967,100200,1021111,3109031
115,9842,51559,97946,1011008,2985416
116,10389,52794,102509,1018073,3068367
117,9904,49597,101693,934041,3031990
118,10597,48609,97445,1017580,2966032
119,10121,51877,100905,997850,3041077
120,10415,51587,100633,1020694,2917907
121,9997,46546,98734,950563,2941413
122,10137,50067,95860,980832,3003227
123,10775,48873,106555,988122,3211015
124,10590,49658,100285,974772,3016577
125,10688,50329,102706,989159,2779067
126,10505,50084,103428,954001,3017302
127,10215,50371,97574,1031899,2916210
128,9868,47257,96919,1062512,3023855
129,9921,52376,100106,1025157,2860449
130,10259,51926,98034,1023253,3106756
131,9642,48011,106609,961085,2998349
132,9512,48266,98941,953722,3106770
133,10149,49116,103407,1016788,3000607
134,9936,51728,96107,998570,3036272
135,10383,50758,100017,1011609,3033705
136,9833,51209,99361,1014020,2737535
137,9396,50650,100131,1013980,2994885
138,10376,52386,98006,1014477,3026883
139,10389,49252,107084,955948,3040282
140,10056,49270,99717,1007493,2989339
141,9588,50591,104456,949382,3030444
142,9586,51266,103980,1033584,2866532
143,10068,49828,100249,996997,3023357
144,10424,48952,102224,970034,3005727
145,9826,51220,99881,1005147,3072634
146,10457,49008,96359,987700,3085648
147,9763,50355,101490,1009650,2923709
148,9357,46840,100532,1060312,3008122
149,9970,49024,95733,1000993,2980261
150,9584,49234,98480,1015321,2931035
151,10097,50693,95738,1020586,2896021
152,9561,49799,103710,986879,3171676
153,10070,50268,98764,973507,2890251
154,9907,50614,99714,1005805,3076746
155,10047,50951,98418,966241,3091055
156,9453,51052,101183,1021896,3106545
157,9730,52283,96822,991257,3048655
158,10106,48295,99430,1012131,2964679
159,10111,49838,97623,965479,2737766
160,9454,51619,97519,1019415,3108485
161,10681,51249,95374,965467,3034568
162,9875,49120,102789,1055844,2759815
163,9582,48250,100561,979023,3091426
164,9910,50336,99525,954574,3058820
165,9537,51866,96790,989531,3102869
166,9551,51531,102812,1090410,2849756
167,10032,51774,97581,981245,3067939
168,9692,50450,104105,1031712,2921776
169,10271,48967,97809,1000150,3043392
170,10993,50772,105925,1011734,2998183
171,10222,50694,100748,994592,3067554
172,9734,48937,95735,981978,2727169
173,10170,50034,101170,1036892,3019260
174,9638,52197,104078,948295,2935586
175,9675,51336,101758,1024148,3052307
176,9924,49515,99659,990231,2971119
177,10871,47885,100679,986631,2944308
178,9998,50540,102849,1006890,2838558
179,10168,51403,98483,1006241,3173676
180,9764,49594,100083,1006649,2680464
181,9570,46941,95600,998670,3134789
182,9828,50980,95510,980288,2976343
183,10121,49648,99044,1068747,3065516
184,9792,47978,95300,977465,3220774
185,9842,49547,99099,1068818,3131484
186,10631,49485,101101,973095,3070760
187,9775,49954,100777,987717,3141359
188,9571,51524,102233,1018997,2848017
189,9874,51383,101281,996327,2898280
190,10162,51220,103453,983252,3077331
191,10488,49878,101844,1012812,2793775
192,9459,47633,101398,959527,2814509
193,10360,51209,99126,999486,2977662
194,9610,51390,99438,961455,3040809
195,9972,50629,97111,1003792,3176958
196,9823,51940,97448,1051853,3122142
197,9741,51985,104864,994391,3039336
198,9585,53108,101983,1058146,2978075
199,10587,47880,101086,973920,2979063
200,10190,49120,100512,1000087,3061774
201,9475,50489,102715,1065851,3115425
202,10284,51508,95623,1019927,2847730
203,9844,50455,96109,1000478,3081175
204,9914,48368,100838,1006625,3068001
205,10562,50527,101988,1003405,2970286
206,9973,49326,95900,998848,3172315
207,9775,49760,99839,1010915,3117417
208,9711,51236,99902,977237,2927080
209,9687,48304,104652,991613,2964366
210,10413,48973,102710,1011321,3010604
211,9700,48125,103656,1023680,2925927
212,10571,52689,101602,1016837,2865968
213,10205,50494,101150,970353,2793413
214,9725,46803,100633,965841,3015032
215,10168,52271,98818,1004190,2965903
216,9782,49097,99329,996869,2882955
217,10171,49207,102180,965529,3117688
218,9674,49827,98856,963012,3129623
219,9582,50274,104186,1012564,2909442
220,10230,49501,99367,1021507,2910094
221,10374,48378,98080,1009221,2973842
222,9798,48157,97831,1032608,2960045
223,9952,51535,95802,992254,2938683
224,10655,50246,100855,1018613,2906988
225,9999,52504,104240,1015289,2753299
226,9362,47941,96178,993291,2875668
227,9981,50287,96452,995772,2973625
228,9504,47488,93552,1000338,2830722
229,9954,48522,98644,1000375,2758295
230,10437,50027,96335,1012116,3172431
231,10029,53138,100355,1025818,2945513
232,10304,48630,106386,996399,3042177
233,9754,53718,98339,1031216,2975613
234,10268,49213,102577,1049015,2821977
235,10015,49207,103179,973355,2894331
236,10518,48520,100952,958816,3076223
237,10434,47346,99173,1041583,3048004
238,9964,50949,97602,1012848,3143527
239,9830,50591,96787,1028215,2804729
240,9917,51963,100219,1035490,2908830
241,10607,50825,103778,976766,3052502
242,9962,52727,99312,1034616,3114194
243,9973,52062,101609,1060946,2970286
244,10439,51377,103484,1002451,3039996
245,10506,51928,101548,1043651,2957536
246,9837,50305,103785,1011912,3116547
247,9937,50683,98515,1025670,2999056
