,10000,50000,100000,1000000,3000000
0,10061,47343,97328,1026095,3121951
1,10113,50380,106906,1021256,3084021
2,10598,53410,103700,1128140,3127815
3,10847,53368,106359,1102913,3192785
4,10868,52665,110747,1081574,3218664
5,11087,56049,111951,1100299,3375295
6,11287,56931,110083,1183222,3543450
7,10892,54122,111324,1088045,3299110
8,11587,55124,106848,1107824,3559831
9,11641,52343,108315,1160712,3149182
10,10641,57952,110526,1020880,3210623
11,10508,51171,106656,1014299,3056415
12,10617,50949,101061,1015844,3127653
13,10379,51383,100718,1006575,3063001
14,10212,53882,95991,1018520,2797849
15,10503,48786,99948,1003140,2873476
16,9560,46694,91634,1052882,3006089
17,9986,49819,94710,897274,2771097
18,9498,49427,94151,929451,2797740
19,9569,49874,100163,1005882,2953271
20,10163,49023,98243,927720,2959110
21,9445,49313,97352,1056152,3047896
22,10703,51038,98252,1056001,3135678
23,10195,54163,107799,1039401,3128793
24,10662,53494,103439,1058998,3158574
25,10557,51218,116335,1038370,3369380
26,11412,56724,117535,1174042,3464710
27,11628,59477,108731,1127395,3423797
28,11366,60516,115244,1117751,3713459
29,11805,60509,122039,1156622,3625560
30,12277,60143,115270,1196026,3402357
31,12396,59171,121605,1192548,3629982
32,11929,60530,124030,1169448,3453030
33,11738,55425,117580,1199353,3452670
34,11432,58020,113017,1166444,3417462
35,11251,55366,109578,1147645,3293951
36,10846,54346,114228,1139696,3295287
37,10839,54710,104814,1089131,3145890
38,10294,52531,102482,1032038,3188336
39,10385,50311,108274,1041488,3111773
40,10517,49417,103297,947382,3056209
41,9460,50119,98769,987462,3008861
42,10289,50939,93448,1018672,2906673
43,10139,50731,96318,963665,2966019
44,10895,49764,102416,1022950,3033542
45,10890,52246,107972,1007770,3138409
46,10266,50833,101509,1024408,3255957
47,10545,55883,109028,1068075,3401769
48,11017,54061,110013,1137388,3156819
49,11968,60552,107756,1110684,3511759
50,11426,57249,111853,1164260,3266108
51,12300,59654,118346,1170036,3412597
52,12333,60792,115782,1196455,3557260
53,12014,58287,113345,1217249,3572759
54,12019,56895,120833,1213296,3487275
55,12007,58801,120392,1124866,3478398
56,11932,60495,117503,1169465,3517821
57,11370,57618,115807,1187142,3411636
58,11187,59326,110856,1166538,3486513
59,11102,53830,114050,1198084,3297051
60,11201,53747,114271,1118820,3219561
61,11043,52984,110656,1068449,3083061
62,10681,52133,104856,1034566,3002709
63,10444,49770,101456,1015694,3119564
64,9420,49883,98968,999409,2980794
65,9428,47987,100336,935128,2925006
66,9585,49827,95750,964518,3102409
67,9974,45457,92487,983801,2871403
68,9622,49757,97399,941783,2880509
69,10045,49650,98487,986462,2988125
70,9788,52543,103753,1027387,2874593
71,10157,50716,102258,1004006,3203667
72,10516,52389,109631,1110023,3076178
73,10637,53590,106010,1131999,3201599
74,10892,54813,114137,1093065,3526559
75,10542,57392,115327,1125208,3442344
76,11426,55685,112194,1089015,3508966
77,10887,56049,112580,1144841,3487540
78,10858,62506,109001,1148847,3452437
79,11191,57026,116108,1093866,3480828
80,11033,55053,107999,1057220,3430759
81,11172,56528,109771,1102895,3308682
82,10642,53251,100920,1093003,3197700
83,10017,53981,102562,1095362,3082542
84,10216,50749,100012,1021373,3013356
85,10011,48275,94626,1010207,2950368
86,9773,45549,90379,994855,2791524
87,9610,48171,97781,867626,2769196
88,9890,45197,89822,901847,2710503
89,8702,45376,95876,908893,2818472
90,9324,41597,85797,853002,2711864
91,9056,47084,94801,859948,2605115
92,8750,46975,88484,922792,2762112
93,8910,45401,91909,905961,2892480
94,9026,49134,93557,979914,2601486
95,9561,46910,94844,954600,2879970
96,10028,48193,100822,988275,2933129
97,9935,50345,103667,1066657,2895546
98,10160,50862,101086,1054323,3030205
99,10145,49944,104304,1032309,3065035
100,10486,51211,99255,1059960,3205534
101,10203,56319,107185,1043937,3214339
102,10700,56196,104191,1056723,3096974
103,10568,52582,104963,1068217,3149575
104,10343,54564,101916,1123394,3148385
105,9966,48412,102697,1003625,3194294
106,9877,51038,102050,979987,3072464
107,9557,49983,101568,972074,3006044
108,8992,48472,91353,928741,2771416
109,8892,42839,94559,917564,2793932
110,9930,45244,93387,858991,2634452
111,7841,41047,86250,822210,2774818
112,8361,45305,85954,859988,2570254
113,8534,39961,85525,857999,2563665
114,8492,41137,84924,845306,2542055
115,8694,43733,84329,859946,2679906
116,8150,40486,77826,840442,2448062
117,8489,41893,82632,911095,2421927
118,8928,43595,81362,841512,2519658
119,8574,43181,88069,898221,2659034
120,9296,45357,90875,879236,2625219
121,9740,46921,95781,901436,2761132
122,9375,46516,102286,941846,2985803
123,9741,48150,100099,962651,2989039
124,10031,48783,101486,1017412,3033900
125,9970,50657,104952,1029267,2984848
126,10171,48987,101061,1051174,3268597
127,10390,50213,104922,1018508,3067697
128,10142,49717,100149,1011351,3026905
129,10156,48901,92449,996759,2853468
130,9412,49909,97871,974906,3107150
131,9107,46681,97454,920150,2618864
132,8975,47748,91518,926198,2621522
133,8878,44151,91051,896407,2614795
134,8751,41809,86471,816580,2836230
135,8415,41005,83001,826866,2577475
136,8809,40575,79020,871972,2515670
137,8347,40146,88103,898917,2437367
138,8274,44833,77492,831597,2467450
139,8015,40481,84084,833455,2521425
140,8598,42788,80374,883945,2427843
141,8276,43693,82518,822700,2661210
142,9008,43066,89534,849034,2658393
143,9683,45831,87556,893722,2658970
144,9411,41619,97353,936304,2873303
145,9791,47682,97074,936831,2859210
146,10641,49756,95319,991684,3016982
147,9889,51647,109561,1032871,3278673
148,10467,51438,99861,1056580,3100397
149,10248,52063,106454,1094906,3118764
150,10703,56023,109956,1135063,3087643
151,10293,52450,107722,1044635,3259985
152,10842,53319,105462,1128923,3138147
153,10677,49049,101011,1120809,3144220
154,10754,48275,96048,980649,2986947
155,9982,49168,98682,984785,3002578
156,9939,48927,97166,953700,2624048
157,9178,49744,96496,1016982,2812979
158,8910,44795,89955,994179,2799967
159,9812,44462,91671,955932,3015786
160,8911,45860,89705,924253,2865351
161,9146,44728,87184,953300,2728703
162,9181,43721,90711,929979,2614919
163,9236,42913,92317,911269,2534589
164,9478,44975,92818,910491,2865376
165,9831,45562,93919,881299,2701120
166,9692,45687,94025,962496,2981558
167,10078,48024,100066,967241,3008887
168,10294,52399,100834,982929,2972121
169,10445,53050,103969,1051988,3196978
170,11063,57298,108316,1124228,3514072
171,11180,56380,118842,1098910,3543444
172,10969,57677,112345,1165608,3200369
173,11649,57273,110181,1122037,3463758
174,11415,59245,114183,1168952,3512194
175,11541,62969,114144,1152761,3333361
176,12147,56344,113803,1069444,3324469
177,11457,54605,111990,1136889,3344372
178,10982,54326,119525,1064525,3399792
179,11396,53866,112371,1051202,3229507
180,10423,50169,106052,1079228,3338055
181,10427,53373,104765,1139389,3229359
182,10488,49997,103230,1041407,3140152
183,9982,52645,103035,1011835,3033580
184,10269,47933,101706,966122,2972269
185,9687,47919,97990,998005,2835453
186,10104,47262,99509,1003573,2918541
187,10805,47775,94206,995743,3000659
