,10000,50000,100000,1000000,3000000
0,10025,49941,99815,999343,3023261
1,10048,50368,99613,1001936,3019424
2,10145,50147,99634,997516,3008621
3,10053,50086,98906,1001175,3001867
4,10053,50544,99296,997782,2990662
5,10033,50115,100402,996032,2986708
6,10075,50213,100517,1003149,3001878
7,10091,50238,100799,998847,3003495
8,10051,50000,100743,991808,3034966
9,10016,49877,99900,997228,3026927
10,10047,50190,99740,992589,3009521
11,10029,49968,99905,994261,2990603
12,10090,49621,99747,995846,2980418
13,10124,49700,101297,1002401,2958959
14,10025,49968,100174,991699,3015918
15,10105,49861,99783,979558,3037428
16,10179,49250,100535,985283,3040798
17,10142,48480,102117,988638,3003043
18,10277,48754,102454,994797,2987233
19,10293,48730,101342,997531,2954686
20,10190,48505,100226,996838,2915944
21,10194,49299,100141,992845,2864399
22,10103,49775,99288,983229,2851953
23,10036,50081,99885,984597,2882372
24,10035,49805,100308,986735,2868820
25,10015,50222,100927,985677,2906091
26,9829,49974,101403,982124,2921583
27,9861,49636,101331,985008,2916330
28,9736,49966,101364,994993,2916784
29,9728,50074,102372,987909,2904920
30,9790,50188,102123,972334,2893479
31,9746,50479,101975,982410,2917848
32,9772,49993,103238,988380,2916063
33,9700,49714,103247,999800,2901940
34,9601,50024,103715,1005001,2908583
35,9629,50490,104101,1007477,2938914
36,9775,50203,103981,995736,2936304
37,9842,50279,105268,984960,2944998
38,9843,50611,105301,997036,2920912
39,9867,50587,105444,987732,2883937
40,9920,50506,105884,992590,2874648
41,9840,50357,106203,1000838,2894060
42,9867,50927,105250,1004290,2913252
43,9997,50705,104746,1001772,2908299
44,10019,50565,104420,991631,2894695
45,9972,50500,103523,987280,2915015
46,10000,51077,103560,988362,2909773
47,9996,50996,104352,988437,2878307
48,9974,51449,104117,992198,2870084
49,9997,51204,104505,982234,2860709
50,10017,51075,104744,980859,2843765
51,10082,50930,103752,985154,2845966
52,10119,51328,103709,982161,2831381
53,10218,51427,102720,1000977,2824707
54,10128,51103,101622,997064,2868825
55,10133,50757,101037,991321,2874051
56,10128,50623,100571,997028,2876911
57,10083,50730,100234,995646,2874596
58,10037,51022,99757,987809,2921277
59,10033,51058,98418,994571,2909886
60,10138,50875,97182,1004592,2920077
61,10069,51107,98550,1007216,2883455
62,9989,51187,98261,1007642,2889169
63,9934,51118,98256,994761,2908040
64,9848,49960,98764,996563,2903870
65,9702,49687,99253,983410,2892081
66,9825,49648,99887,1001796,2920395
67,9799,50166,100016,1005478,2896189
68,9738,49423,100990,984024,2911433
69,9723,49022,102348,982488,2883666
70,9650,49054,101891,981216,2838905
71,9647,49202,101038,981877,2862594
72,9577,48454,101225,991416,2848996
73,9580,48158,101339,979188,2867546
74,9618,48256,100176,972731,2867280
75,9635,48071,99625,983300,2890274
76,9611,48475,99214,988476,2886093
77,9578,48091,100159,982327,2903263
78,9543,48626,100016,996184,2910551
79,9532,48427,100730,1001227,2915418
80,9454,48454,100329,1000914,2888915
81,9364,48498,99734,994106,2891261
82,9335,48415,99216,991941,2878141
83,9317,48354,98966,986586,2901612
84,9360,48366,98882,997545,2945532
85,9387,47632,98532,999806,2968178
86,9447,47215,98126,1001829,2977555
87,9506,47647,98374,993502,2974038
88,9534,47216,97425,983634,2971015
89,9391,46755,98239,985191,3012091
90,9271,46154,98267,984794,3009362
91,9268,46038,97695,979984,3009054
92,9381,45669,97843,982271,3004272
93,9504,45884,97414,992098,2991092
94,9492,46095,97428,996001,2984838
95,9582,46028,96980,990688,2946790
96,9524,45713,97375,988085,2924928
97,9608,45901,96457,989750,2944976
98,9645,45877,96156,983573,2976125
99,9783,45595,97037,986616,2989041
100,9704,45379,97901,993341,2976577
101,9719,44788,98054,1001534,2980781
102,9740,45164,96950,997770,2946316
103,9763,44848,98208,994956,2958039
104,9691,45325,98176,990350,2950623
105,9713,45834,98269,979800,2961980
106,9726,46091,98583,978960,2945725
107,9669,46217,96592,974782,2959121
108,9648,46223,95872,986247,2914176
109,9585,46622,96018,986622,2888280
110,9562,46433,96281,990956,2900999
111,9549,45727,95485,994307,2899596
112,9526,45787,96218,994391,2900652
113,9537,45803,96157,985518,2865374
114,9603,45768,95465,984962,2857127
115,9700,46098,95707,986939,2866225
116,9645,46766,95938,989309,2883735
117,9627,46341,96066,996640,2881875
118,9630,46358,96036,1000104,2875337
119,9552,46634,96457,1006336,2871393
120,9416,46522,97035,1004007,2836629
121,9453,46166,97243,997748,2840108
122,9500,46103,96784,1002045,2823530
123,9433,46533,96193,1003765,2809514
124,9407,47020,95234,1009641,2807112
125,9491,46891,94903,1007496,2799337
126,9431,46282,94316,1010158,2805466
127,9349,46477,93534,1004980,2813466
128,9306,46133,94429,1000837,2842558
129,9285,45521,93442,992787,2863124
130,9353,45462,93219,1001781,2849802
131,9338,45670,92752,1012330,2838800
132,9376,45862,92595,1013455,2864732
133,9385,46300,93222,1009062,2890445
134,9343,46050,93291,1014222,2872043
135,9348,46636,93532,1018642,2837651
136,9330,46775,92860,1015899,2828370
137,9295,47078,93220,1032211,2832112
138,9281,47152,93493,1036645,2857533
139,9305,47203,94194,1021670,2893509
140,9392,47463,95176,1018033,2927749
141,9455,47627,94931,1022773,2937723
142,9464,47753,94276,1032810,2974670
143,9390,47436,94676,1022326,2974277
144,9379,47873,94199,1025200,2958631
145,9273,47940,93834,1016160,2972727
146,9297,48650,92994,1013206,2980459
147,9274,48150,93224,1010944,2974204
148,9227,47510,94007,996448,2988729
149,9203,48089,94276,1008041,3017745
150,9154,48187,95084,1002619,3022694
151,9084,48218,93844,1004498,3016783
152,9105,48238,93462,1002525,3018094
153,9082,49004,92559,995276,3011724
154,9006,48852,91969,1001414,3035494
155,8900,49338,92330,1010272,3041069
156,8807,49441,94191,1005878,3040130
157,8769,48822,93587,995000,3062038
158,8634,48795,93733,996535,3091591
159,8598,48538,93682,1006575,3088447
160,8568,48533,94024,1006879,3126794
161,8701,48047,95799,1018171,3114151
162,8638,48172,95474,1018756,3066635
163,8665,47896,94915,1015891,3079337
164,8722,48069,94849,1014246,3073746
165,8712,48187,93993,1007172,3067929
166,8634,48118,94601,1011772,3080298
167,8530,48064,94694,1017245,3089102
168,8399,47853,94156,1014684,3077069
169,8392,47717,94075,1010418,3060058
170,8344,47403,94272,1020028,3075285
171,8526,47791,94637,1017986,3037149
172,8470,47350,95330,1022644,3099902
173,8444,47142,95381,1012907,3110915
174,8364,46969,95613,1009134,3106395
175,8405,46530,94469,995978,3098763
176,8389,46198,94945,993822,3054657
177,8350,46900,94263,985887,3044700
178,8273,46698,93703,988469,3003334
179,8360,47239,94048,983365,2997284
180,8304,48097,93818,987350,2982695
181,8187,47724,93071,979245,2965078
182,8190,46973,93319,977998,3001825
183,8215,47084,93198,981281,2998005
184,8279,47334,95814,971475,2963033
185,8224,47088,95762,973023,2970267
186,8187,47299,96432,973316,2960751
187,8151,46922,96570,985922,2953399
188,8170,46365,96589,994466,2943840
189,8130,46588,96445,996540,2922950
190,8134,46419,96429,1001856,2902307
191,8163,46541,96199,993120,2878898
192,8281,46919,95285,992845,2901491
193,8285,46851,95269,992927,2864482
194,8275,46518,95696,980523,2856587
195,8295,46562,94950,984211,2873938
196,8263,46656,95101,987028,2888375
197,8236,47130,94803,995246,2895526
198,8141,47018,93794,993488,2893846
199,8138,46781,94324,984524,2890219
200,8169,47088,94326,984084,2884328
201,8201,46843,94045,969489,2862720
202,8287,47416,93996,964474,2873455
203,8222,47624,93457,971135,2864892
204,8210,47143,93494,984912,2875421
205,8120,47250,93641,997677,2845282
206,8099,47757,93150,1003551,2865629
207,8093,47348,93815,1001136,2887232
208,8086,48095,92239,999443,2882194
209,8070,48337,92471,999110,2909879
210,8111,48684,91886,994396,2881268
211,8070,48475,92251,1007036,2884337
212,8126,48871,93038,997969,2872140
213,8067,49256,93042,986816,2884017
214,8063,49121,93442,983957,2921779
215,8098,49356,93374,989494,2933279
216,8135,48790,93807,991152,2931154
217,8163,48679,93017,992654,2941624
218,8216,48505,93778,986010,2901048
219,8325,49031,94329,977874,2868146
220,8260,48623,93974,988136,2890178
221,8189,48550,94933,994345,2902007
222,8081,49195,94654,992131,2879527
223,8074,49203,94890,976232,2916304
224,8055,49207,95714,973935,2922134
225,8056,49209,95638,971486,2908586
226,8132,48725,96757,974327,2895733
227,8194,48138,97428,978956,2897007
228,8151,48367,96659,980426,2884400
229,8049,48199,96389,994658,2915894
230,8123,48155,95964,996576,2930578
231,8170,47891,96166,1004543,2953130
232,8241,48222,96358,1002620,2953564
233,8305,48755,95217,993737,2935230
234,8323,48996,95561,993485,2933535
235,8265,49202,96195,992312,2956362
236,8229,49532,96086,988472,2929369
237,8021,49608,96651,996183,2910055
238,7974,49900,96757,1006532,2919516
239,7898,49217,97549,1020468,2932339
240,8041,49785,96702,1016983,2918002
241,7943,49505,96679,1003354,2927574
242,7998,49790,97392,1000273,2938225
243,7853,49130,96693,1002562,2942372
244,7816,48499,95737,1000482,2937686
245,7860,48262,96151,1010793,2944244
246,7802,48753,96322,1003157,2944683
247,7741,48841,95189,995885,2957820
248,7726,49012,95389,1005676,2933702
249,7671,48790,96174,1011945,2907298
250,7727,48608,96437,1015615,2938795
251,7676,48282,96242,1001445,2929449
252,7655,48665,95837,998203,2910979
253,7755,48492,95164,989445,2909811
254,7805,48529,93844,993380,2887333
255,7713,49124,94120,995547,2879207
256,7756,49397,94879,993382,2902643
257,7766,49266,95585,988465,2913232
258,7825,49735,94637,985769,2909923
259,7754,50021,95236,986896,2914852
260,7731,49913,95880,980107,2910216
261,7838,50541,95844,978249,2930264
262,7794,50025,95884,963116,2937268
263,7769,49792,95353,965617,2930310
264,7817,49212,95328,964302,2934684
265,7777,48719,95141,965257,2929668
266,7722,48986,94998,964546,2932558
267,7661,49069,95720,963763,2943135
268,7657,48741,95637,965161,2943387
269,7696,48645,94827,971380,2894247
270,7668,48676,94794,982592,2861701
271,7728,49499,94315,972973,2840686
272,7786,49495,93743,969269,2828249
273,7885,49725,95027,965926,2859761
274,7971,49587,95666,962816,2860777
275,7881,50218,95780,960236,2813035
276,7857,50157,95092,962257,2803305
277,7927,50381,95732,957821,2829620
278,8108,50434,96223,955774,2820893
279,8190,50828,96504,955880,2818652
280,8152,51086,96395,953411,2827927
281,8118,50696,95098,954894,2833211
282,8148,50399,94941,954197,2855689
283,8143,50495,94076,961437,2850685
284,8145,50707,94305,972571,2889473
285,8158,50327,94706,969423,2872659
286,8101,49866,95555,966297,2896327
287,8197,49905,95383,963339,2897016
288,8227,50004,94871,958523,2846906
289,8225,50026,95056,952279,2838449
290,8273,50143,93207,954380,2854917
291,8365,50189,93309,962663,2859634
292,8563,49869,92752,966470,2846757
293,8608,50252,92214,968226,2849925
294,8611,50416,92070,978592,2855991
295,8593,50442,92107,977151,2835650
296,8513,49773,92357,968166,2859697
297,8467,50206,92126,969297,2859524
298,8424,50427,91858,972798,2882262
299,8406,50695,92954,971815,2888175
300,8352,50574,92858,969521,2847439
301,8174,51296,92740,977071,2832628
302,8142,51032,91904,981165,2829304
303,8180,50975,91424,972812,2817444
304,8148,50721,93105,975707,2817275
305,8152,50947,93061,980504,2783857
306,8151,50972,91841,981572,2808180
307,8085,50955,91219,991765,2828053
308,8071,51129,92038,1000334,2804414
309,8144,51033,92297,996465,2753271
310,8124,51079,92855,994195,2744451
311,8258,50888,91605,1005795,2746785
312,8310,50675,92177,995572,2717669
313,8308,50494,92464,984890,2698906
314,8388,50997,91890,995431,2695999
315,8410,50775,90875,993818,2695859
316,8397,50846,90683,976035,2694180
317,8365,50832,91262,978923,2738401
318,8299,50920,90365,983525,2742685
319,8318,50813,89968,998845,2711226
320,8356,50325,90745,989304,2728326
321,8276,50793,91062,990060,2716965
322,8196,51026,90997,996246,2701852
323,8105,50906,91866,998587,2675839
324,8165,51090,92121,1001019,2661253
325,8214,51439,91002,994406,2668435
326,8170,51431,91636,990421,2659039
327,8200,51341,92056,991841,2641856
328,8183,51319,93949,992610,2646842
329,8053,51019,93538,998311,2680329
330,8113,50585,93216,995113,2708362
331,8183,50598,94210,991255,2704027
332,8192,50937,94551,981083,2702776
333,8258,51216,93761,995321,2657276
334,8312,51116,92792,993495,2633606
335,8239,51293,92124,993052,2636691
336,8305,52295,90954,977468,2658662
337,8206,52413,90014,981720,2664829
338,8213,52321,90111,987888,2674002
339,8174,52253,89839,969396,2672222
340,8258,52302,89909,955596,2653351
341,8302,52466,89495,944755,2675294
342,8364,52457,90442,940535,2676158
343,8503,52190,91169,945112,2704803
344,8470,51900,90392,945603,2691079
345,8446,51859,88776,945020,2691349
346,8456,51882,90295,951391,2698183
347,8380,51742,90818,961882,2699751
348,8372,51648,91429,971839,2710012
349,8282,52246,91560,969896,2713412
350,8444,51544,91455,958568,2718891
351,8445,51087,91319,963593,2705642
352,8515,51222,91065,965492,2694290
353,8486,51242,91226,964523,2713987
354,8467,51101,90595,970104,2711161
355,8462,50684,90182,980988,2713952
356,8381,50884,89180,984544,2720403
357,8539,50770,88587,980532,2699043
358,8624,50774,89218,980872,2716540
359,8526,50566,89172,990680,2698937
360,8658,51096,88831,993634,2698593
361,8728,50737,88384,991281,2683853
362,8846,50775,87878,994382,2708829
363,8902,50985,87933,986737,2693306
364,8877,50984,87133,987159,2687213
365,8768,51314,87301,988088,2650468
366,8757,51095,87989,994818,2649798
367,8665,51465,87254,995689,2660683
368,8629,51364,87283,997951,2650014
369,8742,50905,87566,1005615,2646725
370,8769,50961,87403,994057,2642793
371,8798,51162,86959,1006044,2627469
372,8826,51108,86677,998640,2644952
373,8793,50638,85667,997468,2630773
374,8952,50246,86172,997144,2614135
375,8976,50140,86899,996708,2583293
376,9012,50326,85997,998124,2603862
377,9108,51011,85576,997138,2601349
378,9077,50236,86057,991104,2581846
379,9109,50712,86579,986161,2573787
380,9108,50789,86635,988119,2568998
381,8942,50861,87199,989886,2523742
382,9032,51149,86510,999710,2502670
383,9078,51084,85723,996354,2540589
384,9071,50657,86189,985079,2562216
385,9004,50748,86082,984653,2530488
386,8936,50774,86194,995624,2540939
387,8914,50267,86558,1003690,2556913
388,8874,50119,86182,1003502,2558299
389,8939,50433,85102,997463,2598037
390,8878,50430,85283,997540,2604060
391,8774,50398,84325,1002936,2622970
392,8724,49758,86082,1013203,2620755
393,8787,50157,85451,1019299,2621127
394,8713,50124,85685,1015464,2620883
395,8700,50702,85580,1023733,2607275
396,8640,50002,86117,1011233,2597999
397,8466,49949,84645,1012572,2574544
398,8552,49826,85112,1009344,2566150
399,8643,49848,84917,1012707,2542961
400,8555,49763,86122,1021408,2515020
401,8607,49304,86020,1018834,2549555
402,8634,49198,86812,1014526,2548909
403,8736,49720,86585,1006217,2549014
404,8754,49737,86460,1011001,2555887
405,8812,49828,86193,1016668,2574427
406,8805,49387,86473,1016462,2576106
407,8757,49596,86102,1024462,2569989
408,8645,49294,85256,1031822,2546426
409,8775,48924,86146,1032276,2543478
410,8828,48602,85488,1021090,2560735
411,8727,48500,85842,1010312,2551063
412,8643,48494,85613,1008208,2565138
413,8665,48544,85822,1009489,2572609
414,8660,48397,85287,1006527,2571682
415,8544,47866,85282,1008721,2568521
416,8601,47525,85280,1008058,2557869
417,8602,47629,86354,1002624,2553064
418,8623,47776,87047,1016529,2556503
419,8533,47467,87778,1022204,2541007
420,8556,47413,87814,1032425,2518806
421,8605,47530,87906,1032550,2526898
422,8724,47786,88380,1040806,2546657
423,8644,47101,88200,1032464,2562562
424,8553,47374,88971,1023314,2551749
425,8602,47960,88475,1025478,2532368
426,8544,48143,87587,1025956,2551117
427,8446,48290,87703,1025944,2570197
428,8476,48364,87898,1021677,2550854
429,8531,48244,88495,1012771,2569171
430,8496,47704,88756,1023636,2586983
431,8540,47616,88689,1019766,2554465
432,8587,47249,88525,1011736,2559444
433,8664,47686,88922,1005122,2582714
434,8631,47674,88921,1007410,2580283
435,8548,47800,90091,1013167,2544127
436,8515,48124,90593,1009957,2540103
437,8483,48694,89684,1004781,2540124
438,8518,49108,88378,992773,2550515
439,8550,49350,88344,999442,2527499
440,8530,50034,88901,997149,2548175
441,8552,50459,88937,998485,2551543
442,8651,50603,89418,1008535,2555394
443,8484,50459,89171,1003344,2537566
444,8420,50239,89204,988285,2524894
445,8424,50297,89085,980364,2522484
446,8500,50425,88644,969578,2510804
447,8557,50579,88987,978333,2531718
448,8617,50584,88929,967193,2537713
449,8674,50693,89602,957145,2541633
450,8709,51293,89479,955361,2522963
451,8654,51641,89133,963982,2535225
452,8566,51889,87724,966744,2540966
453,8559,52094,87795,961622,2524460
454,8549,52224,87767,964509,2540833
455,8503,52301,87884,963519,2551239
456,8400,52078,87834,954135,2532776
457,8377,52946,87421,964521,2522868
458,8475,53314,86892,971654,2544121
459,8503,53372,86737,972760,2540501
460,8582,53938,85579,969012,2508840
461,8605,53776,85572,953985,2517301
462,8582,53305,84565,967465,2539541
463,8545,53414,84829,962941,2562709
464,8632,54003,84847,961132,2568988
465,8671,54230,84559,963748,2597145
466,8759,54629,84607,956792,2556716
467,8755,54822,84610,964539,2589177
468,8737,54842,85319,967476,2568438
469,8786,55327,86346,962211,2566916
470,8891,55732,86829,951175,2565156
471,8975,55110,87818,951957,2557879
472,8955,55720,88256,945866,2579450
473,9025,55474,88620,950845,2564397
474,9088,55623,88501,947731,2522042
475,9048,55531,89699,950490,2536006
476,9110,55640,89868,955451,2561179
477,9031,55931,88827,953815,2538284
478,9029,55936,89091,960507,2554577
479,9039,56011,88012,959613,2560779
480,9079,56158,87909,958664,2551293
481,9010,56613,88922,962388,2529971
482,8979,56337,88892,963913,2533847
483,8951,55768,88562,958424,2503473
