,10000,50000,100000,1000000,3000000
0,9329,48771,99294,967462,2823660
1,10808,51473,103798,1014959,3086188
2,10881,52317,107331,1042798,3053223
3,10601,53203,109468,998968,3422123
4,10979,56615,107935,1162371,3274239
5,11286,54190,106590,1111543,3254363
6,11842,56247,114928,1140049,3322696
7,10912,55409,111459,1136619,3348256
8,11776,54417,118221,1115062,3632540
9,10724,55523,109154,1080023,3322990
10,10536,54008,101580,1126246,3178583
11,10772,54510,110748,1087269,3260817
12,10612,53992,101619,1001934,2900357
13,10478,52077,98519,1000614,3105128
14,9133,50471,101822,1024361,3076011
15,10121,45868,100991,973376,3009422
16,9442,49128,99433,946976,2845884
17,10023,50475,98406,993278,2901015
18,9154,46920,98964,897853,2754266
19,9621,48676,95346,937259,2886041
20,10120,50550,102334,1055241,2743386
21,10175,49249,103290,1022942,2901838
22,9351,52481,101861,1051890,3132799
23,10817,50975,108045,1068113,3294302
24,10624,54489,106473,1033672,3008075
25,10872,56524,111934,1141492,3318206
26,11511,58425,114080,1132618,3331904
27,11010,57707,117351,1149402,3493874
28,11504,61092,119107,1198399,3448931
29,11532,59027,124082,1197356,3569592
30,11986,60627,117456,1222041,3634530
31,12129,58424,121756,1247877,3560242
32,11968,59709,112524,1213209,3598285
33,11574,55734,118481,1212409,3558207
34,11562,58984,118490,1119254,3344110
35,11650,56846,114725,1107691,3307932
36,10927,55829,106406,1147741,3239216
37,10849,54002,111523,1062894,3151718
38,10241,55388,111831,1061379,2777313
39,10223,50838,103565,1059947,2993530
40,10487,51062,106342,1044051,3123972
41,9544,51542,100276,1047664,3044375
42,9897,52062,99010,1031189,3092480
43,9736,50851,102657,1063040,3104617
44,9874,50135,102809,1038246,2915530
45,10076,48396,109837,1011855,2996382
46,10633,54908,107866,1075127,3323399
47,10927,55782,120283,1083482,3328411
48,11765,54817,112325,1139507,3299953
49,11168,59111,118360,1169217,3319913
50,11360,54941,113716,1173378,3448299
51,10964,58561,117439,1164181,3449446
52,11903,62698,119227,1220569,3612834
53,11730,60903,120916,1233416,3359747
54,11070,56900,127237,1247974,3757204
55,11616,59858,127985,1200377,3530965
56,11942,60339,121089,1169537,3493096
57,11127,60247,114900,1113762,3381189
58,11987,60479,118180,1108150,3391605
59,10629,56756,111844,1142991,3108638
60,11504,54757,110922,1124774,3166054
61,10886,53398,102264,1084341,3055163
62,10761,55651,106168,1028729,3068012
63,10141,49009,98070,1076045,3009322
64,10443,51429,100631,988258,2901864
65,9878,51610,97986,916224,2941643
66,10072,51845,97030,1007328,2876938
67,9794,51156,103106,1029968,2844824
68,9928,47099,102747,960438,2727065
69,9227,50935,98344,1037555,3051691
70,9437,52968,104172,967514,3105697
71,10449,52264,105675,1034113,3249977
72,10408,51696,106985,1080512,3268029
73,10259,53429,113214,1081537,3285895
74,10666,57598,115842,1100630,3263129
75,11023,57106,114109,1073424,3405565
76,11348,56327,116289,1173071,3442784
77,11215,58789,116651,1108025,3511045
78,11026,57006,111666,1136484,3354534
79,11178,56289,114916,1194278,3538048
80,10753,57627,122701,1144769,3446140
81,10406,54862,108810,1130024,3375604
82,11032,53615,105217,1081307,3235214
83,10240,51197,99624,1104890,3169708
84,9783,54113,106328,1008898,3119919
85,9974,50768,102558,981185,3091014
86,9325,49136,101351,925704,2845861
87,9006,46938,95925,878024,2947787
88,9082,45514,97902,963269,2803250
89,8356,42314,90840,938964,2684771
90,8500,45120,91946,910184,2579046
91,8901,45747,92369,814807,2582937
92,9127,43919,95978,934351,2577788
93,8568,42562,100548,955470,2794209
94,9420,48125,92690,918945,2746830
95,9485,48725,100131,953938,2851482
96,8918,48529,98427,1020739,2956619
97,9500,47960,97388,994141,2960619
98,10473,51614,110347,1047407,2912394
99,10069,50897,100691,1001341,3143760
100,10725,51383,107228,1055795,3232059
101,10290,51407,113175,1093709,3126755
102,10316,51909,104972,983946,3168641
103,10441,50082,111452,1045733,3330945
104,10265,49400,108072,1072825,3153612
105,10454,51196,97249,1052207,3198622
106,9488,47324,107338,1010803,3021967
107,9424,47114,95774,977165,2908059
108,9481,44973,98111,949875,2789518
109,8554,46675,89739,936195,2703341
110,9350,42777,91339,887697,2842991
111,8555,44035,88884,932453,2592128
112,8387,42592,88300,840588,2587637
113,7741,41757,90619,821005,2595095
114,8209,41845,85534,831293,2720982
115,8157,41278,85140,868361,2407877
116,8526,43892,88765,804878,2668300
117,8538,40798,90116,889197,2597964
