,10000,50000,100000,1000000,3000000
0,10276,49135,98915,987209,3207172
1,9387,52400,102808,1043847,3136348
2,10227,51714,101076,1092319,3058454
3,10509,51833,109639,1073543,3287702
4,11161,55992,113842,1035457,3246946
5,11333,56204,110888,1116119,3251579
6,10812,57026,114929,1101986,3302639
7,10753,56825,117460,1119740,3547251
8,11305,53086,114549,1139351,3459174
9,10567,58818,115766,1116122,3379396
10,10473,56135,110062,1105476,3283826
11,10534,53025,104483,1075764,3262961
12,9813,50040,103478,1068157,3081478
13,10880,52996,106080,1027252,2950630
14,9820,48214,96543,980534,2968189
15,9100,52440,97934,999889,3210522
16,10043,47979,95422,988830,2790147
17,9469,47834,103255,985099,2793323
18,9554,49435,97242,923646,2830217
19,9432,47941,97201,1022499,2823794
20,9754,51077,101301,997379,3068518
21,9937,49898,97260,985265,2970611
22,10478,54074,105875,1026780,3123152
23,10677,53498,108112,1086675,3351818
24,10685,53142,107513,1130102,3189861
25,11088,55176,112816,1138640,3424206
26,10842,59096,116410,1199066,3449866
27,11726,57516,112650,1152067,3591942
28,11889,57484,118720,1229212,3301979
29,11696,57890,121023,1196058,3569146
30,11381,61366,120713,1175967,3667097
31,11698,59702,123869,1224141,3515621
32,11377,59461,116760,1211739,3502915
33,11539,58754,116880,1211287,3626885
34,11579,60624,115363,1191676,3646292
35,10608,56189,114504,1176876,3424369
36,10476,54687,109177,1127574,3389198
37,10348,51084,113272,1037531,3299491
38,10289,51800,104240,1059156,3125140
39,10104,52401,105776,1087900,3209377
40,10606,51195,104898,985028,3134634
41,9792,48876,102234,1032706,2992146
42,10012,49386,95110,994841,3069465
43,10335,50156,95084,1063859,2915577
44,10113,51253,107288,966902,2847711
45,10820,51787,104108,1012106,2949824
46,10114,51971,110986,1081036,3144431
47,9976,52830,110960,1137569,3433790
48,10681,55925,110554,1120054,3245243
49,10887,57214,114419,1229003,3303067
50,11139,58372,110649,1165341,3426829
51,11405,62309,121846,1219640,3548630
52,11733,61109,114426,1344837,3605995
53,11838,59701,117796,1207099,3578855
54,12126,61450,117285,1181228,3550858
55,11604,62281,117162,1203746,3574096
56,11584,61379,115672,1230340,3520074
57,11232,58331,120354,1197891,3435719
58,12116,57552,124868,1096416,3444202
59,11555,60129,115919,1158723,3345867
60,10422,55967,111020,1096373,3335931
61,10855,52870,106941,1092483,3171094
62,10169,55450,98126,1036225,2957496
63,10129,52978,103195,974611,3031850
64,9775,48656,101467,1022189,3022000
65,9601,48912,101684,1019884,3071454
66,9406,48528,99390,1041894,2867116
67,9567,47809,92626,1024658,2976394
68,10012,50235,98793,983348,2836462
69,10200,50644,101183,998495,3238253
70,10038,53561,102650,1000879,3067232
71,9822,52040,104567,1035705,3087405
72,9575,54467,108911,1079389,3192578
73,10626,55599,114008,1157120,3174744
74,10617,55132,111042,1176299,3258447
75,11219,57531,115931,1216476,3586248
76,11079,57290,117077,1178835,3258083
77,11143,60184,117623,1172221,3176679
78,11759,56016,112045,1142422,3421601
79,11548,57339,110955,1144949,3263497
80,10837,55693,113922,1156439,3428041
81,11121,58788,111669,1164801,3282917
82,10581,54772,109051,1116738,3327972
83,10290,52850,107287,1097885,3101460
84,10836,51684,100820,1040990,3143962
85,10380,52939,96962,1001094,2841899
86,9808,50162,93055,1004270,2849242
87,9240,48779,102550,964412,2832337
88,8984,48818,95033,969927,2915970
89,9735,46005,90795,998736,2553884
90,8668,46736,93582,985255,2640013
91,9198,46325,91984,923415,2666892
92,9273,48138,93152,966703,2623451
93,9899,47599,93435,988111,2679415
94,9567,49030,91929,977533,2880055
95,9256,48885,93670,879344,2732602
96,9936,50668,99893,1019029,2950560
97,10222,51947,94461,1078060,2892713
98,9981,52766,106837,1094596,3366908
99,10214,53745,105586,1122279,3056675
100,10231,52622,111300,1074096,3278938
101,10833,51697,110557,1055286,3321582
102,10636,56020,108335,1087111,3224331
