,10000,50000,100000,1000000,3000000
0,10210,58376,102926,1096427,2727811
1,9214,44471,94032,843682,3116670
2,10614,38797,85352,902678,3343646
3,8784,37520,79161,924873,3290590
4,9782,62262,110704,1004369,2739146
5,8512,53370,107160,1185607,2733139
6,10457,49056,92143,877251,3016853
7,9942,39126,102135,895538,3130395
8,10639,44564,97969,1077129,3241958
9,9407,54489,81964,1061560,2904727
10,9675,49421,99661,989170,2360090
11,11000,48731,100057,884364,3029238
12,9356,42862,89645,1058293,2567214
13,9761,59854,99572,929467,2583599
14,10800,49186,96106,935931,2757063
15,9576,56671,103404,1000554,2573127
16,10182,56085,95778,908437,3284098
17,9823,57576,105776,892086,2877991
18,9703,60837,88124,858121,3118260
19,9121,46149,88938,986758,3261011
20,9823,55456,102554,1014163,2861039
21,10951,42487,104400,919113,3414374
22,10064,50571,97965,899077,2928412
23,10779,54853,109703,1152985,2944568
24,9889,43175,94769,1032689,2701586
25,9933,54654,103975,975601,3091325
26,11726,45526,114125,1146099,2899432
27,9721,49805,99505,1092978,3358804
28,8710,41237,98213,952849,2954008
29,11096,40850,103625,955049,3025260
30,11324,61644,86145,986292,2866165
31,8608,46179,101230,959470,3158672
32,10228,46978,85157,966890,3266546
33,11478,48088,86890,1036412,2675128
34,10344,60605,92410,1093610,3008370
35,11122,46453,94904,962617,2886170
36,10923,54830,97826,942792,3068778
37,8696,45672,101426,991407,2946592
38,9579,44761,94535,958913,2771209
39,10061,53797,99626,1044157,2941305
40,10644,57513,105737,977489,3008791
41,9940,47081,100910,932392,3038988
42,8815,52767,101003,922766,2888122
43,9125,46338,101061,1071898,2811055
44,9877,45418,85283,1062986,2981271
45,9541,48394,96371,940605,3025288
46,10561,51931,89822,1245873,2949302
47,10175,54311,100173,1041449,2930687
48,9809,42249,91328,916481,2661858
49,11074,46313,115192,995347,2866000
50,8991,44721,108769,953105,3210316
51,10691,50078,97399,1184336,3375965
52,10240,46725,121188,949128,2716051
53,9608,48363,121746,1086927,2874844
54,8308,49949,92996,1093185,3173973
55,9782,43597,96181,1049464,3058085
56,10839,53070,100635,1338405,3272117
57,8618,56619,103367,950828,2603943
58,10398,56072,97497,904201,2910686
59,10900,49691,90270,1014946,3081006
60,9659,45081,111306,1119814,2691177
61,9439,51470,109082,957579,3139664
62,10113,50831,84805,848216,2608370
63,10125,48616,87325,1144008,2515965
64,8722,49995,119393,967701,2755485
65,9949,55805,88132,938145,2672735
66,10715,47328,101909,860503,3084096
67,10463,54906,119314,1067808,2791636
68,8634,46184,102601,903057,2571980
69,9362,47461,101581,981495,3599201
70,11011,54755,87228,1077583,3041235
71,8505,51093,112581,921049,3237231
72,10464,46102,96013,1009008,2718306
73,9441,56377,104550,1054372,2835953
74,10380,49972,114909,908915,2767895
75,8872,46444,109988,913588,2484688
76,9736,43773,98456,1141143,2870346
77,9987,48323,97042,836348,3478691
78,10226,50667,91652,1012650,3193320
79,9043,44603,90941,911832,3371088
80,9731,53977,94066,1045518,3106236
81,8428,51875,89391,978103,2839623
82,12184,42832,119335,1147407,3004587
83,7655,49628,88947,852629,3542440
84,9577,44587,97407,935553,2773493
85,13395,55426,95127,693738,3141638
86,8044,42365,91690,878510,3327333
87,9014,52608,102226,907264,2594999
88,10017,47445,94924,941219,2775306
89,11982,48915,114781,1027907,3329951
90,9764,46411,94747,910324,3046329
91,11560,51169,81746,991758,2825299
92,9723,51981,100124,956618,3296542
93,11091,46031,82934,1045761,2527943
94,10027,50621,90054,876223,3102251
95,9378,47713,102443,1056051,2957342
96,10693,53871,113943,950254,3025218
97,9102,54486,111610,945496,3390147
98,9962,50576,92595,914791,3052492
99,8747,55830,80059,901281,2468188
100,11484,52548,98503,900736,2815423
101,8219,53495,91640,873289,2594597
102,10448,44314,107716,1109822,2872197
103,10279,49837,94933,1110076,3485847
104,10701,62306,105831,1139365,3304572
105,10609,54248,96515,1109195,3161798
106,11701,49177,112953,1154297,2920779
107,11029,54222,88136,906137,2823241
108,11035,49477,115251,1078472,2780828
109,10805,47611,93352,1024011,2728167
110,12034,47132,106149,1051883,2951541
111,10261,55804,102696,1033236,3085358
112,8871,45265,117109,1036955,3017819
113,10665,50341,90783,930236,2939706
114,9395,47627,114647,946910,3247871
115,9475,54449,112707,953691,3097693
116,11455,51046,92705,1044471,2916679
117,10363,52487,126915,1206315,2971966
118,9959,55602,95460,1015144,3369327
119,9365,54180,97667,855836,2745693
120,10783,45261,99440,1035257,3313342
121,7437,51366,97155,1132252,3355664
122,11230,51837,110191,977640,3148409
123,10325,54095,101579,926959,2550033
124,7435,43599,102692,938234,2946789
125,8409,52332,105464,980035,3058471
126,9472,52087,77262,994419,3142288
127,9881,43407,90732,915928,3185188
128,10719,51060,84050,1039637,2501269
129,8757,50965,98976,969779,2981060
130,10272,52014,111770,882714,2365430
131,10030,58834,97593,1048014,3242462
132,11908,59584,124267,823157,2705598
133,9859,49565,102658,953081,3395189
134,10874,43369,102309,1045682,2780500
135,9445,41993,106920,895125,2472803
136,12034,52875,112158,932947,2616705
137,10320,35886,104885,1099387,2415099
138,10859,47459,86140,979065,2619432
139,8527,53972,96759,1244168,3016158
140,10476,49662,102925,1064291,2591249
141,10326,49348,98369,961778,3330788
142,11724,59156,102936,966968,3124061
143,7008,51271,100222,1036439,3216367
144,8504,54766,100026,917716,2875349
145,8249,51879,120348,970457,3128227
146,9791,49693,87241,925929,3223672
147,9204,53585,84118,1026974,2838853
148,9687,58669,90454,901093,2946251
149,10644,51912,103020,905675,2615430
150,9558,47835,110545,1035580,3380936
151,8277,48490,93545,1000723,2979214
152,10448,50038,110371,993386,3136964
153,9507,47056,96490,1030509,2868303
154,10338,54539,96641,1023062,2881136
155,10754,57613,115887,1043767,2920540
156,9562,52243,90762,921106,2617107
157,10966,47428,98969,927204,2895159
158,10710,57916,96404,933623,2874709
159,10036,57922,121463,910441,2994600
160,10010,52002,97514,829123,3006483
161,11180,45832,105794,1063562,2715541
162,10069,43230,101643,1106455,3380242
163,9960,59004,107594,934219,3589145
164,10889,47166,100999,967179,2833561
165,10490,48708,106169,1087201,3479022
166,8882,56589,105076,961084,2801998
167,9357,51878,101331,930639,2724420
168,11609,49312,84591,1042798,2806700
169,11067,48351,102761,915735,2836371
170,10347,51145,92435,928874,3217625
171,8996,47922,103014,1094727,3165388
172,10791,53795,101567,928220,3214447
173,9528,47614,99371,953159,3118194
174,10092,43982,99958,811578,3107800
175,8981,51383,111449,1136902,2579456
176,11618,54918,122595,925888,3075639
177,9444,57699,108184,881949,3098087
