,10000,50000,100000,1000000,3000000
0,10104,57085,100595,1108060,2656145
1,9297,48336,106788,956445,3021666
2,10192,55682,111539,1079102,3273957
3,9356,51074,96996,1105290,3272272
4,11024,46705,86100,1002473,2545192
5,9998,47446,107509,1032986,3244489
6,9188,49220,83810,993399,3051353
7,10542,53891,107185,1038146,2918413
8,9669,50310,72555,900479,2710191
9,10250,48160,104509,948361,3150857
10,10122,54252,90411,900119,3494416
11,10430,48321,94866,1090459,3026923
12,9214,53029,99910,799167,3118224
13,10622,48479,107807,979279,2422374
14,10961,52478,97653,856173,2629166
15,8929,55239,98317,966765,3387384
16,10029,48036,121200,965214,2800151
17,9323,53017,109386,964940,2736221
18,9758,53392,117708,866691,2875034
19,9790,36992,76854,1084795,2336990
20,11547,44688,108924,1017380,3504126
21,8755,54659,107257,1089916,2755572
22,10115,57941,111946,963444,3315795
23,9265,47413,103514,941650,3264433
24,12124,55004,93999,1015090,2817150
25,10120,51415,90943,1052009,3068622
26,9197,49824,117509,961566,2324557
27,11149,54546,102533,894236,3109356
28,10307,59463,93455,1048097,3287957
29,9878,57714,80172,981738,2675621
30,11689,48478,98648,874422,3124492
31,10106,45269,100657,776921,3042920
32,8606,51867,107067,1018459,2929626
33,10655,46207,106183,1158752,2583369
34,11743,58851,105242,904035,3294389
35,9772,49810,96104,791219,3115896
36,9978,45309,96383,920116,3204984
37,9425,49740,92044,1096441,3006933
38,11644,55046,108924,892790,2760465
39,7602,42362,118156,1026252,3427788
40,9683,57564,103188,1014962,3179568
41,10202,45787,90085,893806,2935680
42,9714,53717,99731,982779,3024072
43,11880,43216,96554,979329,2398819
44,9436,55743,83570,1089744,3555781
45,9000,48140,103817,1124475,3410174
46,9146,58150,86197,901768,2520798
47,8127,50948,94098,992218,3073143
48,9659,44462,111728,906115,2316785
49,10775,48597,94478,1052390,2923697
50,10873,48126,79945,939768,3315661
51,8919,51818,101131,911363,3062493
52,10919,53836,105888,1092233,3287567
53,11820,53108,108469,1061668,3572147
54,10297,50514,104908,989796,2559959
55,9939,47940,106270,845481,2723577
56,10416,43666,107416,986134,3247636
57,8493,45919,102736,785276,2709078
58,9995,54013,100883,885226,2892779
59,10381,55643,86453,1019951,2590316
60,10880,54676,107126,973725,2905862
61,9428,51770,111256,1017687,3281006
62,10570,48185,104366,1180779,3327181
63,9088,54224,110836,1068978,2870428
64,11680,42716,90403,883152,3210976
65,9081,45715,103056,1039502,2754569
66,10240,52127,111477,1001191,3286516
67,9979,48599,120770,1099124,3616347
68,8920,35876,104824,1246088,2797989
69,9206,44975,101656,1025404,2900488
70,11944,50697,71667,1029397,3260991
71,11530,45902,101327,1100912,3113269
72,9585,45882,100911,999137,2935860
73,8628,54969,97467,1011279,3099392
74,10115,50969,117349,885771,2854556
75,10004,45226,97414,853732,2970839
76,8965,53286,114043,879889,3170623
77,9897,45619,119406,1082532,3274473
78,9445,48220,97655,1076070,3411083
79,11207,57301,92246,1041934,2932691
80,10672,46198,121798,974197,2889393
81,11122,45029,98628,1033569,2904149
82,8905,47437,91663,851066,3276518
83,10710,49368,119617,1187542,2503960
84,9531,55041,107886,937734,2631775
85,11960,53976,101347,810075,3115586
86,9554,55354,109303,1099944,3674714
87,11864,45627,95041,1137381,3087325
88,8790,47786,108873,1076220,3080204
89,9955,47344,105614,1004789,2883515
90,10615,49302,95159,1088948,2699426
91,8347,55208,105917,1029720,3205485
92,10494,49416,119012,1055675,3640113
93,10510,55603,70971,1101696,2661951
94,10280,54803,83303,915512,2958917
95,10426,53346,108385,1029842,2778729
96,9536,45047,79105,1038411,3170876
97,8623,49752,108300,889044,2897118
98,11514,53345,129855,1028237,2913046
99,10567,42066,101060,889839,3148035
100,9123,48307,106481,912186,3228173
101,9333,50163,101649,873252,3092095
102,8738,51189,104958,1066289,2691458
103,10542,52449,89536,912452,3390416
104,10734,53287,114390,1126217,2896098
105,10618,47084,99042,1132593,3120819
106,10198,53280,88240,915751,3022798
107,8856,47406,108291,1008198,3072902
108,11470,50417,96303,1094284,2684380
109,8791,40693,112626,1049252,2692411
110,11182,47488,111995,906379,2868402
111,10484,56142,111429,772736,3377942
112,9398,50051,103659,938514,3156237
113,9146,50051,91910,922771,2685288
114,10570,36833,86103,1033135,2699358
115,10218,49913,90154,1141631,3028483
116,11153,57497,91639,975689,3409131
117,8712,49616,93737,1034618,2832412
118,9552,48718,104955,1040818,2658438
119,10502,50457,111150,891391,2902085
