,10000,50000,100000,1000000,3000000
0,9393,54482,102005,932898,2958093
1,10062,47590,95386,1102064,3001280
2,9723,52607,102867,951778,3061660
3,9979,49602,108476,1077506,3207628
4,9499,53369,93811,984443,3131441
5,10155,49165,93396,995458,3099844
6,9117,47756,94313,917215,3526775
7,9435,48618,98152,1040089,2811570
8,9772,49248,103229,1057977,3300827
9,11134,51285,92676,997909,2782592
10,9696,60061,106013,1021753,2699455
11,8557,46949,104196,1069982,2839710
12,10765,56503,98960,902669,2720923
13,10431,48697,98717,1073311,3261515
14,10705,54146,99042,995223,2888239
15,10925,48232,93326,959912,2994437
16,9149,55893,104041,936790,2926663
17,9451,52375,103655,929549,2962735
18,10982,52412,98072,1006542,3325925
19,10290,50475,105873,1081263,3187323
20,9636,46280,96750,1020651,2995932
21,10712,48602,92892,910722,3023457
22,9955,46793,86771,1046933,2577014
23,10241,52791,99114,1052228,2684989
24,11226,55326,110954,992296,2704182
25,10526,51515,93222,980415,2553115
26,8921,54936,93146,1112117,2352416
27,10400,45810,95525,1035885,2755248
28,9458,43559,91111,924931,3010254
29,10614,51266,102123,1031115,2707937
30,11200,45374,102286,1005143,3006189
31,9623,48099,101510,1002304,3237700
32,10767,49499,105710,932228,2940009
33,8770,47708,95753,999001,2715684
34,9818,50996,95294,984027,2783106
35,9910,47636,103989,1045880,3086059
36,10853,46172,94524,973999,3204103
37,9543,53533,97720,1006506,3121077
38,8663,45991,105041,961932,2946485
39,9309,49084,87969,989369,3205835
40,9641,48383,106642,1177427,2861868
41,10012,45877,100855,928565,3153820
42,9184,46334,94551,1113964,2903996
43,8923,54174,104606,1049765,2994113
44,8126,55363,89205,982981,2645086
45,9786,49115,102332,1049804,3432639
46,9289,52869,98300,1124659,3069953
47,11326,50352,116248,1100419,2476173
48,9868,49901,111067,951326,3086817
49,10842,45497,93626,958346,2773452
50,11008,50981,95377,1070190,2960157
51,9664,55415,107902,876680,3173785
52,9488,56477,92654,1083979,3154570
53,10008,45905,97925,956954,2711773
54,9239,47510,95971,945202,3075471
55,10387,48438,104885,844793,2951134
56,9584,46148,96137,1043813,3115343
57,10154,49390,103143,1071563,2820463
58,9236,46481,102801,1040908,2826002
59,10200,45353,101700,1065203,2883135
60,10546,52118,92020,982558,2820078
61,9401,51865,110035,1028221,2643151
62,9731,54364,109097,1069183,2751321
63,10104,52689,106188,993313,2875043
64,10579,53833,98753,1082173,2959568
65,9047,47143,93160,982864,2871789
66,9377,44050,106270,961731,2811398
67,9850,52172,98984,1112208,3342383
68,10288,44476,92871,1037119,2932627
69,8842,44414,104115,1103192,2784077
70,8500,46873,103409,1064305,2886721
71,9800,46443,81119,965207,3015058
72,10828,48484,89160,991468,3076323
73,10267,53433,107355,993088,2965548
74,9826,46349,99269,981747,2911355
75,9921,54953,103982,932860,2920715
76,8241,58358,100812,1028459,3215801
77,9801,51864,106411,1077353,3087293
78,9576,51430,97667,895895,3121461
79,10280,46748,94528,948320,2943217
80,9754,45811,103317,958172,3146720
81,8438,53317,91849,949651,3055242
82,9648,47572,104879,924701,3367372
83,10347,51474,99933,910547,2879368
84,9202,52646,100299,1032559,3042538
85,9928,46581,100573,1058771,2963531
86,10181,50144,103287,1006015,2592380
87,9368,50928,100499,1037977,2627392
88,10768,52524,95783,995354,2991376
89,9958,54395,95894,925438,2976782
90,9482,49496,106134,975810,3144178
91,10085,52936,105004,934122,2853750
92,9150,46540,98282,1057327,2964549
93,9365,48835,99714,968303,3178759
94,9769,51601,102578,1094854,3099027
95,11443,43752,93201,943992,3049664
96,11102,48751,100135,1035593,2955720
97,10348,52275,92698,1055856,2543907
98,9366,53986,100851,1038718,2702146
99,10946,46416,95310,888452,2964775
100,8646,50573,98291,999226,2845945
101,10068,45156,111858,984970,3273546
102,9654,50513,113052,1017148,3184940
