,10000,50000,100000,1000000,3000000
0,10353,48954,107431,1057639,2890135
1,9440,50436,103923,1091481,2685664
2,9820,47694,83761,1007515,3168617
3,9244,51020,98211,1137144,2824390
4,10834,51570,99342,985756,2771392
5,10361,47977,98734,981045,2883165
6,10434,49256,97027,1019327,2903137
7,9359,49477,113684,1074869,2949378
8,10346,51962,96382,881044,3075247
9,10302,48778,90556,1019168,3155711
10,9918,51451,101391,920346,3217548
11,10119,52651,95292,1035514,2994810
12,10594,49636,116860,1022176,2885878
13,10095,50351,102406,989186,3041600
14,9900,53135,106327,1068834,3245349
15,9505,46154,103745,965208,2933950
16,9783,54056,92047,1020530,2920842
17,9794,55095,101197,967008,2735185
18,10087,49799,109569,1023872,3480838
19,11132,53563,105813,941109,3196000
20,10588,56144,100673,1062751,3200958
21,10484,53686,106764,1016390,2799853
22,12219,48550,97192,949276,3115819
23,10659,51578,99550,886354,3186323
24,10830,51040,102738,1128826,2460697
25,9537,51592,95908,935865,2947724
26,10097,51364,99108,1013991,3096402
27,10852,48387,106081,927393,3145736
28,9375,43603,96628,965592,2675105
29,9583,51900,97343,804636,2532676
30,9039,50332,84987,1010407,2727020
31,10949,54278,103158,1021446,3112609
32,10366,48321,100934,1114274,2986519
33,9783,53541,98029,1043955,2975900
34,10636,52774,96774,1155877,2807807
35,10397,51535,89849,851286,3358624
36,10501,52521,92348,1060758,2853475
37,10780,55649,110563,1016530,2888174
38,8485,49032,100606,1132423,3323160
39,9742,47072,101728,991033,3068185
40,9532,41090,97794,1010086,3245158
41,10472,50199,107800,1036966,2904052
42,11043,52861,99310,1014677,3075093
43,10770,52336,99509,1012549,2919095
44,10206,49321,105121,910044,2911325
45,10288,51109,91015,1009154,2973407
46,10366,55960,91358,909879,2649188
47,11174,43819,110968,1077721,3362730
48,9496,47392,99404,1060609,3042521
49,9408,50683,97597,969246,2673712
50,10613,51986,101034,995495,3190895
51,9743,49361,103274,1119132,3155897
52,11437,46284,87671,1008958,2991888
53,10449,47164,113375,1048213,2970381
54,9904,45258,94930,995315,3117630
55,10167,45571,96979,1015076,3326264
56,9963,47453,99926,955984,3432366
57,9488,47007,85658,1024590,2832427
58,10023,53477,113120,1001684,3149687
59,10565,52149,105224,1045701,3068065
60,10269,50813,93371,1056298,2925980
61,10926,54354,99272,906643,2817622
62,9385,53029,88955,968612,3218405
63,9198,51891,91862,1012327,3045085
64,9858,53266,110256,1001343,3144526
65,9267,49694,102090,1020365,3067968
66,9362,47834,96175,959182,2924922
67,10610,49063,92326,1104576,2906200
68,9804,49879,100191,1031809,3053736
69,8860,40906,101779,1043690,2982019
70,9032,50208,95630,976053,2753603
71,10707,47100,97047,980857,2921017
72,9273,51198,101337,968128,2878588
