,10000,50000,100000,1000000,3000000
0,10033,50032,99536,996191,2987133
1,9969,49883,98698,990702,2985597
2,9996,49920,99084,1004479,2945853
3,9913,50239,100122,1017470,2932092
4,9849,50403,99435,1017487,2926625
5,9840,50825,99274,1024495,2956997
6,9833,50450,99338,1026811,2961377
7,9712,50169,100173,1027279,2984744
8,9639,50149,100003,1025650,2978409
9,9695,50468,99807,1024120,3000283
10,9662,50657,98999,1038116,3002234
11,9652,50546,97860,1039223,3011905
12,9664,50677,97271,1048057,3032185
13,9667,50405,97218,1051530,3015660
14,9568,49931,96693,1046588,3032298
15,9540,49349,96779,1063841,3006245
16,9594,48729,96135,1056596,3022535
17,9649,48636,96339,1063461,2975663
18,9664,48846,95290,1071918,2963924
19,9676,48959,95115,1079728,2993817
20,9608,49073,95097,1077191,2969943
21,9784,48500,94743,1074973,2951572
22,9810,48473,94439,1066811,2949903
23,9797,48160,94585,1070305,2956679
24,9800,48210,95249,1053470,2950259
25,9785,47769,94408,1055563,2936460
26,9821,48322,93280,1058597,2943578
27,9794,48220,92362,1069169,2930277
28,9633,48100,92246,1064092,2966683
29,9561,48608,91932,1053985,2987706
30,9535,48645,91007,1054151,2977862
31,9540,48991,91019,1060030,2963795
32,9489,48740,90243,1060570,2954727
33,9530,48868,90126,1068353,2929450
34,9611,49178,90324,1065727,2935462
35,9666,50035,90756,1078600,2943835
36,9765,50413,91271,1082412,2933298
37,9703,50246,91454,1077437,2943333
38,9694,50293,90210,1072488,2936895
39,9663,49930,90526,1064641,2899945
40,9590,49711,90802,1059238,2921069
41,9510,49723,91828,1053550,2949260
42,9516,49286,90507,1054928,2947740
43,9540,50249,91316,1058177,2968157
44,9691,49819,92033,1052378,2986590
45,9697,50102,92380,1069705,2961707
46,9723,50229,92288,1074199,2962619
47,9808,50520,92277,1070272,2984148
48,9888,49834,92400,1082915,2971306
49,9888,49906,92706,1072488,2954028
50,10027,49614,92628,1062517,2934904
51,9987,49387,91920,1053486,2952458
52,10069,49816,92809,1059028,2939363
53,10208,49560,91086,1058560,2963469
54,10233,49365,90939,1058999,2988819
55,10218,49216,90514,1058267,3014886
56,10179,49257,89933,1068599,3032469
57,10156,48784,91053,1075762,3035443
58,10091,48694,91277,1066399,3075291
59,10109,48862,91116,1054813,3093886
60,10041,49213,90987,1052786,3081716
61,9986,50010,90825,1050439,3049172
62,10047,49975,90468,1052822,3038905
63,10091,49609,90655,1051058,2983860
64,10137,50151,89632,1058054,2945800
65,10167,50399,90475,1061230,2960476
66,10222,50353,89535,1064676,2968951
67,10167,50571,89059,1053848,2968355
68,10169,50639,89907,1049102,2963671
69,10232,50441,91131,1059988,2960747
70,10220,49933,91148,1039174,2939537
71,10312,50017,90847,1045145,2946498
72,10288,49758,90044,1028103,2953437
73,10324,50330,89227,1025383,2966985
74,10356,50049,89240,1027199,2997565
75,10254,50039,89653,1032948,3010749
76,10446,50185,88795,1020224,3016387
77,10519,50426,90127,1032914,3029806
78,10552,50309,89716,1037143,3031086
79,10510,50327,89723,1037292,3045929
80,10483,50324,90394,1036290,3016622
81,10514,50219,91414,1039662,3009807
82,10629,50702,91219,1033250,2996735
83,10638,50934,91569,1037310,2979251
84,10641,50994,91960,1037851,2956941
85,10727,51414,91856,1046589,2937734
86,10706,51304,91600,1051815,2957945
87,10615,51419,91704,1036841,2974738
88,10646,51059,91482,1043706,2951489
89,10643,50948,91242,1042564,2927737
90,10658,51345,91146,1042334,2973220
91,10645,51378,90411,1052380,3005690
92,10550,51431,90628,1057824,2998050
93,10524,51708,91001,1064203,2978249
94,10707,51547,90755,1071461,2966948
95,10625,51330,90539,1071899,2945109
96,10583,51313,89607,1078740,2941326
97,10498,51105,90600,1068000,2917999
98,10464,51185,91070,1069062,2930360
99,10445,51815,90308,1079552,2939989
100,10513,51809,90759,1074978,2934746
101,10534,52065,91113,1073675,2931747
102,10510,52347,91172,1069338,2906370
103,10502,51652,91242,1062195,2904635
104,10557,51497,91423,1065277,2904324
105,10492,51616,91290,1059682,2931911
106,10503,51567,90387,1070120,2928870
107,10511,51593,89251,1072491,2939031
108,10402,51439,89651,1074472,2937022
109,10367,51444,89195,1091369,2936491
110,10398,51513,88485,1104288,2919141
111,10379,51277,88725,1099937,2897761
112,10270,51498,88591,1090650,2913241
113,10358,51256,89472,1091555,2925606
114,10269,50694,88696,1095099,2958460
115,10206,50603,88727,1087782,2994129
116,10158,50076,88989,1083942,2993418
117,10095,50054,88607,1077814,3028295
118,10100,49729,89156,1078498,2997896
119,10082,49484,89679,1068582,2972054
120,10134,49109,89975,1067471,2971445
121,10052,48502,88903,1068232,2979521
122,10062,48347,89031,1081645,2977215
123,10092,48160,89237,1077319,2989786
124,10166,48463,89887,1077683,3004599
125,10083,48433,88701,1072716,3016772
126,10003,48534,88888,1081206,3023629
127,9986,48411,89308,1093301,3006499
128,9932,48984,89874,1096706,3026022
129,9993,49027,90264,1085995,3039786
130,9964,49028,88491,1069573,3025674
131,9961,49198,89016,1068671,3039592
132,9989,49945,89066,1062664,3041814
133,10084,49662,88456,1065066,3056131
134,10016,49135,89732,1066785,3058579
135,10151,49175,88957,1070823,3078988
136,10095,49574,88811,1077314,3071400
137,9990,49330,87484,1078104,3067017
138,9998,48921,86640,1082008,3059078
139,10030,48285,86579,1072632,3063943
140,9960,48390,86076,1078131,3044093
141,9986,48671,86024,1079221,3049496
142,9875,48466,84846,1085425,3072989
143,9768,48254,84856,1080052,3066978
144,9672,48323,84976,1080084,3088437
145,9629,48804,86578,1071603,3095577
146,9663,48408,86587,1066007,3082842
147,9691,48600,86430,1055405,3101065
148,9656,48119,86799,1053851,3110828
149,9711,48050,88464,1064812,3136016
150,9693,48360,88492,1058599,3094001
151,9611,48357,88423,1058001,3096072
152,9490,47885,87575,1059665,3101967
153,9553,47855,86953,1058479,3103013
154,9494,47643,85846,1064340,3099077
155,9353,47693,85761,1073778,3101312
156,9358,47303,85328,1069680,3074175
157,9481,47901,85521,1067405,3067321
158,9455,47525,86100,1067531,3058582
159,9472,47589,87117,1065221,3054489
160,9479,47577,87564,1062736,3010111
161,9546,47924,87759,1074120,3038777
162,9508,47596,86891,1063585,3044439
163,9594,47322,87692,1073177,3065291
164,9639,47453,87939,1086026,3041528
165,9638,47019,87395,1074245,3053751
166,9634,46630,86276,1074764,3038070
167,9794,46768,87213,1072873,3056916
168,9754,46441,86090,1073799,3011023
169,9692,46012,86650,1071918,2980939
170,9665,46393,86724,1079700,3004859
171,9630,46658,86783,1085214,2989589
172,9603,46392,87751,1093592,2984054
173,9683,46259,86307,1087265,2977546
174,9666,46666,86249,1087521,2963130
175,9644,45831,86495,1087591,2971435
176,9665,45717,84822,1096780,2961952
177,9647,45584,84692,1097957,2966661
178,9582,46373,84693,1099571,2991773
179,9528,45860,83987,1101119,2999137
180,9557,45124,84026,1089893,2994112
181,9654,45183,83633,1086652,2982478
182,9662,45454,83876,1089531,2987063
183,9711,45485,84013,1085731,2970926
184,9754,45467,84232,1079068,2989062
185,9676,45288,84419,1065347,2995031
186,9611,45123,85328,1083562,2972129
187,9696,45122,85816,1095628,2990050
188,9667,44728,85667,1096624,2983189
189,9618,44996,86588,1097234,2956810
190,9530,44511,87325,1103997,2953444
191,9585,44712,87417,1099498,2917905
192,9517,44962,87636,1089096,2897989
193,9558,44569,87536,1074584,2910450
194,9441,45091,87451,1073785,2937325
195,9405,45248,88909,1068842,2950577
196,9367,44764,89364,1063059,2936854
197,9381,45057,89641,1055997,2917581
198,9353,45114,89772,1058520,2907458
199,9353,45360,88976,1064382,2908731
200,9344,45462,89973,1073012,2940626
201,9315,46066,89886,1077133,2949476
202,9353,45930,89764,1082283,2933680
203,9316,45877,88161,1070401,2960468
204,9342,45351,86843,1069414,2981470
205,9399,45133,85876,1068194,2978407
206,9326,44819,84888,1059731,2988410
207,9444,45667,85250,1042328,2963218
208,9335,45375,85442,1045820,2961840
209,9412,45227,86314,1044762,2952698
210,9359,44463,87520,1039199,2940001
211,9303,44453,88380,1046950,2928423
212,9271,43952,88364,1044996,2946937
213,9252,43717,89042,1045549,2943145
214,9241,43991,90061,1056069,2959897
215,9214,43575,89319,1052887,2992912
216,9285,43911,88637,1057372,3018341
217,9354,43535,87137,1055696,3033044
218,9266,44097,86866,1064795,3032826
219,9175,43999,85747,1058421,3017874
220,9195,43637,85960,1057492,3002425
221,9216,43307,86893,1060012,3018065
222,9238,43270,86193,1061233,3008005
223,9329,43372,87144,1066012,2991761
224,9268,43951,87808,1060971,2989441
225,9210,43898,88797,1051702,2939036
226,9196,43282,88598,1055200,2939101
227,9263,43203,87732,1054271,2955983
228,9180,43069,87890,1058102,2990017
229,9252,43680,88120,1056472,2964780
230,9241,43522,87750,1055015,2959801
231,9287,43412,88627,1048647,2921208
232,9210,43118,88725,1053452,2917942
233,9210,42961,88122,1055876,2911173
234,9098,43787,88103,1053826,2900112
235,9104,43831,87721,1063712,2921825
236,9034,44062,87683,1060700,2919575
237,9059,44416,86468,1065387,2895361
238,9146,44581,87147,1067845,2860157
239,9038,44515,88335,1085504,2864205
240,9053,44226,87859,1075777,2868541
241,9027,43874,87532,1066150,2867782
242,9033,43756,87720,1074186,2828312
243,8876,44100,87987,1086475,2835096
244,8823,44151,87909,1081742,2835290
245,8852,43451,88372,1082484,2812512
246,8958,43469,88988,1079882,2809330
247,8855,44035,89356,1081854,2812051
248,8754,43393,89207,1090384,2812465
249,8663,43564,88792,1104619,2833946
250,8748,43450,89927,1092215,2850022
251,8680,43466,90389,1093527,2852054
252,8784,43256,90048,1086179,2896808
253,8828,43222,90671,1083247,2901147
254,8826,43385,90475,1080997,2942289
255,8939,43143,89978,1071872,2947938
256,8769,42905,89489,1067602,2951574
257,8836,42830,89279,1081966,2940961
258,8873,43456,89410,1073679,2984621
259,8823,43348,89327,1079967,2955580
260,8904,43345,88868,1076809,2945371
261,8996,43012,88443,1070618,2975082
262,8934,42498,87173,1072643,2983715
263,9037,42452,87278,1081164,3003871
264,9104,41862,87341,1083266,3027989
265,9151,41568,86292,1073874,3066975
266,9166,41377,83936,1066150,3044201
267,9201,41244,83808,1064927,3056869
268,9089,41360,83390,1069444,3042715
269,9106,41612,83732,1060088,2982658
270,9076,41588,83695,1065008,2984133
271,9049,42175,83197,1055686,2968394
272,9089,42705,81453,1059336,2972135
273,8986,42188,81582,1058441,2985073
274,9085,42589,82203,1065012,2990695
275,9080,42431,81961,1070552,3013382
276,9130,43343,82774,1062145,3011550
277,9133,43180,82408,1056641,3028372
278,9070,43476,82143,1054716,3034833
279,8948,43355,82247,1048670,3028408
280,8878,43351,82808,1043716,3027259
281,8888,43126,82896,1046027,3043439
282,8855,43263,83045,1050253,3026810
283,8784,42883,82281,1052934,3020849
284,8770,42725,83044,1039259,3023655
285,8619,42812,83403,1043425,3042965
286,8642,42210,82415,1036647,3036578
287,8607,41842,82090,1032276,3032264
288,8516,41134,83474,1016359,3025210
289,8663,41179,83616,1018745,3036541
290,8729,41318,84549,1020122,3030394
291,8753,40692,84508,1029360,3006830
292,8726,40689,84198,1031444,3015477
293,8765,40989,83486,1026923,3049355
294,8831,41074,82786,1009149,3049903
295,8811,41315,82225,1019498,3015037
296,8791,41850,82450,1011318,3018639
297,8926,41287,83005,1026149,3027224
298,9063,41237,83050,1023272,3040487
299,8935,40991,83648,1016467,3056191
300,8943,40747,82775,1010773,3047989
301,8986,40621,82685,1018036,3045453
302,8975,40814,82416,1017386,3029589
303,8951,41408,81705,1017315,3070219
304,8848,41582,81686,1009763,3067873
305,8882,40830,80795,1016659,3038044
306,8866,40855,81270,1019955,3038174
307,8913,40742,81819,1019507,3069966
308,8871,40930,81038,1019017,3114683
309,8903,40764,78772,1018943,3124107
310,9038,40633,78824,1014181,3139400
311,8952,41158,79435,1026547,3159259
312,8992,40733,80333,1023127,3126000
313,8872,41373,80172,1026580,3160200
314,8907,41378,79116,1037837,3146544
315,8914,41268,79620,1031565,3168632
316,8922,41221,79788,1029065,3187032
317,8828,41048,79499,1030743,3203197
318,8910,40994,79677,1025261,3218946
319,8936,40789,81439,1017849,3213179
320,8879,40350,80514,1012468,3217060
321,8732,40163,79840,1018207,3210564
322,8676,39556,80081,1011542,3234149
323,8646,39017,80677,1017850,3205031
324,8666,39087,81403,1024325,3211773
325,8615,39107,81236,1023888,3207626
326,8497,38890,82720,1029279,3196987
327,8484,38495,82609,1027181,3201116
328,8452,38756,81529,1034044,3206199
329,8453,38214,80821,1031292,3214841
330,8531,38009,80576,1039706,3233732
331,8566,37774,80506,1042902,3237260
332,8557,37409,79520,1048748,3233017
333,8450,37796,79289,1065147,3212410
334,8368,37468,78057,1079689,3183856
335,8394,37584,77889,1074918,3221610
336,8430,36989,78655,1066821,3262226
337,8386,37480,78301,1070267,3266133
338,8286,36970,78978,1071886,3249990
339,8324,37220,79678,1070324,3252629
340,8286,37129,79212,1082672,3253935
341,8283,37276,79503,1083092,3201474
342,8297,37260,79954,1087878,3206852
343,8228,37243,80518,1082965,3222200
344,8412,36903,81404,1083446,3224006
345,8445,37313,82481,1087225,3211333
346,8448,37649,82755,1094153,3207281
347,8309,38040,82888,1097589,3205669
348,8325,37641,82833,1100879,3201293
349,8332,37088,83445,1098636,3220048
350,8317,37516,83947,1103620,3217688
351,8281,37880,84024,1094569,3205788
352,8246,38041,85593,1092004,3202696
353,8132,37812,86119,1088409,3174353
354,8039,37195,86579,1081269,3173350
355,8002,37280,86172,1082070,3186991
356,8060,37029,86192,1071794,3172089
357,7883,37140,86478,1070870,3179127
358,7871,36648,87382,1082615,3200212
359,7871,36604,87643,1086249,3162277
360,7906,36301,88729,1091815,3159002
361,7919,36001,88560,1089395,3173759
362,7904,36163,88054,1090921,3178316
363,7976,35684,88438,1088496,3172600
364,7940,35725,88793,1090544,3160147
365,8001,36135,89003,1092951,3175526
366,7985,36408,88531,1089214,3187696
367,8043,36202,88220,1084973,3175734
368,7985,36185,88326,1080191,3158021
369,7999,36649,88117,1069169,3140481
370,7962,37225,86994,1062380,3140730
371,7947,37143,87004,1052612,3121793
372,7866,36348,86937,1048882,3076564
373,7806,36462,86980,1047000,3058751
374,7752,36568,87850,1051771,3056512
375,7643,36986,87856,1051984,3042811
376,7536,36863,88404,1059622,3039074
377,7617,36802,89783,1073164,3053826
378,7764,36529,89574,1065214,3047070
379,7857,36858,89157,1061792,3012769
380,7843,36713,90028,1078969,3025313
381,7826,36562,89954,1072910,3041645
382,7966,37079,88769,1072542,3040138
383,8021,37886,88284,1069766,3041612
384,8053,37478,88359,1071936,3037272
385,8016,36969,87473,1077821,3064072
386,7947,37372,87330,1069801,3062621
387,8005,37543,87135,1080117,3068604
388,8029,37673,87585,1075582,3056679
389,8080,37440,86467,1071468,3095230
390,8020,36607,85996,1073754,3132293
391,7971,36867,86127,1070613,3141339
392,7924,37193,86804,1074833,3146448
393,7969,36797,87045,1073466,3163087
394,7913,36499,88255,1084964,3195945
395,7897,36592,86951,1073375,3187129
396,7798,36080,86758,1076070,3196303
397,7868,36181,86692,1077725,3181732
398,7897,36384,88001,1066873,3164774
399,7887,36567,87849,1065336,3159154
400,7893,36444,87310,1060385,3165684
401,7903,36571,88270,1052599,3120344
402,7997,36856,89108,1046572,3104661
403,8102,37559,89726,1042528,3119831
404,8013,37815,89702,1043615,3136181
405,8011,37128,89328,1045205,3134636
406,7907,37258,89987,1044056,3169799
407,7856,36567,90003,1056388,3152017
408,7917,36334,90564,1061687,3172308
409,7960,36142,89930,1061744,3159091
410,8067,35799,88677,1070017,3172635
411,8150,36100,88631,1078937,3152760
412,8180,36186,87916,1078386,3137544
413,8265,36456,88150,1084865,3114491
414,8337,36360,88576,1087975,3129645
415,8267,36748,89801,1079393,3120731
416,8291,36672,89239,1069204,3122609
417,8303,36908,89362,1083560,3099095
418,8372,37229,89614,1085926,3109328
419,8412,37369,91412,1094553,3115815
420,8427,38095,90940,1084896,3101811
421,8535,38242,90686,1089607,3101493
422,8572,38021,90494,1078475,3146555
423,8673,38627,89111,1066834,3149803
424,8562,38705,89029,1065093,3132612
425,8562,39504,88771,1071236,3126862
426,8603,38549,88617,1076827,3154054
427,8599,38774,88528,1074225,3166323
428,8515,38287,90049,1068418,3172431
429,8593,38022,90293,1072249,3188570
430,8652,37758,89516,1059676,3219579
431,8660,37559,89603,1069175,3212766
432,8705,36833,89262,1072455,3222341
433,8789,36913,89913,1074723,3208047
434,8796,36988,90315,1103703,3212028
435,8798,36672,88654,1105887,3225550
436,8843,36552,89706,1116836,3218395
437,8776,36358,89814,1113816,3230622
438,8734,36670,88589,1115910,3225481
439,8700,36493,89434,1114551,3240742
440,8648,36109,88989,1130730,3209898
441,8725,36073,89244,1127624,3179796
442,8738,36352,88840,1125066,3196287
443,8760,36175,88914,1124503,3225794
444,8805,36280,88245,1130568,3249297
445,8811,36691,88860,1130694,3260388
446,8817,36821,89112,1132583,3276521
447,8860,36779,89342,1139416,3317998
448,8867,36483,90177,1141512,3297433
449,8781,36886,88349,1141667,3308249
450,8733,36803,88103,1140494,3305108
451,8763,36760,88138,1147487,3330964
452,8725,36646,88258,1149599,3315770
453,8696,36771,87552,1155401,3325015
454,8684,36509,87499,1154926,3333192
455,8786,36348,87413,1152939,3355791
456,8790,36209,87575,1158773,3367628
457,8837,35537,89710,1166576,3386339
458,8865,35451,88745,1166954,3400238
459,8838,34887,88107,1181628,3414363
460,8845,35017,87337,1178093,3424330
461,8798,35215,88299,1169735,3413446
462,8854,35056,88674,1165496,3366140
463,8912,34888,88640,1174958,3390784
464,8721,35102,88840,1173401,3424801
465,8703,35037,88618,1167233,3452327
466,8714,35384,89014,1167210,3447551
467,8675,35665,89753,1163615,3471310
468,8780,35638,87814,1159700,3485199
469,8771,36130,87351,1158307,3491616
470,8782,35960,87221,1157539,3490776
471,8731,35754,88408,1147625,3504694
472,8774,35528,88548,1151099,3508797
473,8739,35939,87701,1148045,3479261
474,8821,36213,86907,1151148,3523751
475,8746,36206,86411,1153421,3507441
476,8834,35882,86067,1158215,3535348
477,8890,36373,85280,1157280,3547949
478,8898,36852,83817,1163322,3549821
479,8935,36969,84730,1163087,3561244
480,9035,37437,84212,1160784,3555595
481,9078,37523,83738,1157322,3563542
482,8902,37805,83972,1156089,3532463
483,8771,38136,83603,1157359,3543759
484,8729,37677,84038,1160328,3542408
485,8763,37794,83806,1158896,3589831
486,8742,37737,84005,1172188,3572222
487,8837,38633,84305,1162567,3591288
488,8750,38210,84972,1158862,3562881
489,8766,38362,85799,1160858,3607972
490,8730,38623,86418,1177308,3658321
491,8776,38500,84605,1176403,3670451
492,8714,38708,83418,1169117,3656939
493,8749,38837,83438,1162973,3623692
494,8732,38789,83042,1170864,3630464
495,8798,38628,82742,1175360,3638233
496,8789,38615,83226,1170247,3609610
497,8701,38527,83358,1173301,3634802
498,8776,39217,83343,1180654,3623710
499,8770,39134,83929,1180165,3630368
500,8788,39108,83325,1177606,3646001
501,8718,38790,83455,1174450,3649368
502,8765,38537,83863,1177705,3638988
503,8791,38353,83867,1189152,3641889
504,8848,38028,82324,1200972,3603147
505,9031,38519,82246,1207814,3588797
506,9033,38680,83401,1209865,3579110
507,9106,37940,83455,1204198,3569755
508,9220,37988,82495,1210012,3573723
509,9187,37720,82360,1214221,3606013
510,9207,37358,81976,1217490,3653047
511,9221,37767,81098,1211402,3676878
512,9189,37893,82115,1208996,3665827
513,9148,37647,81781,1211403,3671966
514,9146,37533,80985,1207864,3665295
515,9242,37524,80854,1200167,3669719
516,9156,37996,81394,1195263,3675455
517,9269,38415,82207,1188695,3646976
518,9329,38784,81668,1193088,3643846
519,9338,38134,81954,1197620,3651084
520,9319,38212,81845,1192397,3626787
521,9289,38022,80646,1189825,3612903
522,9403,38065,80772,1189320,3577738
523,9416,37865,80879,1187743,3576632
524,9378,38589,81075,1190255,3619463
525,9376,39255,80629,1178660,3600039
526,9352,39421,79998,1177606,3605608
527,9403,39382,79513,1178561,3652642
528,9225,39392,79015,1179026,3644639
529,9188,39771,79214,1176096,3641192
530,9137,39719,79293,1169739,3635058
531,9130,39784,79709,1163226,3655553
532,9218,39130,79826,1168361,3664681
533,9217,39731,79878,1171066,3686837
534,9085,39559,79887,1166451,3675811
535,9041,39685,80731,1162601,3649572
536,9060,39689,81981,1162979,3623341
537,9125,39788,81841,1169737,3624074
538,9105,39842,83224,1170254,3622629
539,9057,40430,83678,1184068,3636178
540,9083,40367,83287,1186899,3631999
541,9145,39777,82510,1179344,3638958
542,9169,39497,81663,1179750,3617808
543,9156,39808,80938,1187133,3609217
544,9213,39822,80288,1187401,3608151
545,9194,39761,80818,1186624,3606786
546,9109,40312,78988,1183077,3612035
547,8992,40229,79117,1186982,3634585
548,8986,40578,79503,1183188,3641982
549,9049,40229,79629,1195582,3635169
550,9054,40242,79795,1188742,3635228
551,9069,39687,78942,1198104,3628718
552,9067,40101,78753,1183227,3649264
553,9152,40132,78334,1172039,3651663
554,9082,40587,79150,1168747,3638390
555,9137,39701,79673,1178665,3622180
556,9112,39845,79893,1177619,3618404
557,9019,39402,79112,1168944,3633820
558,8978,39094,78805,1169922,3657174
559,8996,38879,79111,1172993,3676950
560,8948,38955,80915,1185706,3661317
561,9015,38617,80645,1186229,3624857
562,8940,38267,80219,1193691,3622070
563,8864,38212,79751,1193646,3658041
564,8764,38244,79657,1197131,3687328
565,8705,38593,79567,1194191,3731483
566,8583,38675,80479,1193113,3745343
567,8534,39310,80270,1202793,3761938
568,8422,38615,81424,1201485,3769345
569,8430,38894,81840,1201463,3762752
570,8550,38321,81945,1198399,3760093
571,8581,38144,82094,1197629,3798110
572,8677,38281,82003,1204694,3828863
573,8595,37957,81533,1213206,3867092
574,8580,38086,82486,1210654,3860596
575,8528,37848,83294,1223892,3876172
576,8553,37693,82655,1228758,3843689
577,8544,37837,82109,1234293,3833776
578,8576,37549,81758,1225809,3864418
579,8546,37708,82924,1229514,3878512
580,8570,37417,82410,1223410,3861569
581,8524,36841,81626,1225029,3838736
582,8520,37334,80907,1221823,3855390
583,8436,37716,81467,1225613,3853775
584,8495,38035,81544,1220371,3888340
585,8497,38044,81642,1218138,3930145
586,8371,38366,81141,1221765,3934460
587,8449,38337,81135,1225318,3961823
588,8439,38310,80177,1225556,3968569
589,8440,38208,80339,1223376,3919895
590,8483,37973,80478,1231162,3900890
591,8403,38257,80987,1242991,3955383
592,8380,38446,81207,1243346,3937566
593,8349,38411,80439,1240425,3925655
594,8307,38010,80645,1233780,3953993
595,8400,38378,81008,1239741,3921067
596,8411,38820,81402,1230128,3903257
597,8453,38906,81979,1234552,3918293
598,8455,38828,81694,1250947,3896004
599,8457,38794,81377,1247407,3854833
600,8442,39442,81244,1254909,3848321
601,8399,39232,81564,1259347,3844710
602,8339,39218,81263,1250737,3837477
603,8283,38969,81256,1254119,3842623
604,8235,38472,81873,1251463,3857440
605,8229,38602,81831,1242626,3863805
606,8213,38930,81922,1240290,3890588
607,8259,39013,81772,1246742,3926995
608,8169,39307,81409,1251289,3935755
609,8167,39390,82067,1247401,3956887
610,8077,39524,83021,1242875,3967861
611,8177,39373,82760,1243367,4037822
612,8189,39088,82472,1233962,4024347
613,8225,39766,82743,1237071,4023084
614,8229,39638,82271,1222822,4006736
615,8135,39346,82362,1223717,4009792
616,8139,39003,82022,1229747,4005022
617,8207,38854,81128,1225790,3992273
618,8248,38605,80648,1231365,3981630
619,8337,38685,80075,1239330,3967973
620,8395,39108,80972,1240420,3950382
621,8317,39415,80910,1251747,3961904
622,8264,39178,81763,1253492,3926592
623,8245,38997,81535,1246831,3944706
624,8175,38692,80946,1255753,3954108
625,8072,38028,80662,1257239,3954523
626,8035,38284,79998,1252202,3972871
627,8089,38218,80800,1261868,3951105
628,8207,38111,81335,1264391,3953728
629,8137,37886,81489,1263787,3927607
630,8176,38083,81270,1266910,3944580
631,8102,38034,80465,1271621,3939441
632,8123,38422,79797,1276753,3934507
633,8122,38133,79000,1274437,3926859
634,8115,37538,77711,1270846,3913210
635,8227,37183,77064,1258431,3852558
636,8167,37256,76539,1257793,3875555
637,8122,37143,75845,1271036,3868016
638,8040,36983,75468,1267209,3864704
639,8063,37124,75105,1266794,3867520
640,8037,37261,75484,1259668,3860908
